atc_A	atc_class_name_A	atc_B	atc_class_name_B	atleast_exposure_count	exact_exposure_count	fraction_exact	fraction_allwindows	observe_per_expect_N1
G01	Gynecological antiinfectives and antiseptics	H05	Calcium homeostasis	48092	729	0.0152	0	0.973
L02	Endocrine therapy	N07	Other nervous system drugs	47924	2116	0.0442	0	0.962
D10	Anti-acne preparations	L02	Endocrine therapy	47775	3266	0.0684	0	0.342
A08	Antiobesity preparations, excluding diet products	M02	Topical products for joint and muscular pain	47732	2954	0.0619	0	1.683
A09	Digestives, including enzymes	N06	Psychoanaleptics	47703	1686	0.0353	0	0.665
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	H01	Pituitary and hypothalamic hormones and analogues	47364	2771	0.0585	0	0.96
N06	Psychoanaleptics	P02	Anthelmintics	47262	10609	0.2245	0	0.464
A11	Vitamins	D09	Medicated dressings	47149	2429	0.0515	0	1.019
C04	Peripheral vasodilators	H02	Corticosteroids for systemic use	47122	544	0.0115	0	1.847
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	A08	Antiobesity preparations, excluding diet products	46770	1061	0.0227	0	0.633
A05	Bile and liver therapy	C01	Cardiac therapy	46768	403	0.0086	0	1.549
A04	Antiemetics and antinauseants	C05	Vasoprotectives	46677	852	0.0183	0	1.221
C08	Calcium channel blockers	P03	Ectoparasiticides, including scabicides, insecticides and repellents	46499	875	0.0188	0	0.448
D08	Antiseptics and disinfectants	H03	Thyroid therapy	46437	799	0.0172	0	1.135
D03	Preparations for treatment of wounds and ulcers	N05	Psycholeptics	46396	355	0.0077	0	1.899
G04	Urologicals	P03	Ectoparasiticides, including scabicides, insecticides and repellents	46311	1064	0.023	0	0.833
A05	Bile and liver therapy	M04	Antigout preparations	46025	2093	0.0455	0	2.136
A05	Bile and liver therapy	P01	Antiprotozoals	46016	1511	0.0328	0	2.769
A08	Antiobesity preparations, excluding diet products	S02	Otologicals	45857	3275	0.0714	0	0.81
H04	Pancreatic hormones	N02	Analgesics	45834	172	0.0038	0	0.788
A12	Mineral supplements	S02	Otologicals	45725	1074	0.0235	0	1.56
D06	Antibiotics and chemotherapeutics for dermatological use	J04	Antimycobacterials	45693	2463	0.0539	0	2.053
C04	Peripheral vasodilators	R06	Antihistamines for systemic use	45624	374	0.0082	0	1.295
D08	Antiseptics and disinfectants	H02	Corticosteroids for systemic use	45262	147	0.0032	0	3.272
D03	Preparations for treatment of wounds and ulcers	N03	Antiepileptics	45165	305	0.0068	0	3.134
J04	Antimycobacterials	S02	Otologicals	45146	1903	0.0422	0	1.156
D03	Preparations for treatment of wounds and ulcers	R05	Cough and cold preparations	44935	<100	 	0	2.789
A03	Drugs for functional gastrointestinal disorders	A05	Bile and liver therapy	44851	831	0.0185	0	2.991
A16	Other alimentary tract and metabolism products	N06	Psychoanaleptics	44849	4985	0.1112	0	0.758
A05	Bile and liver therapy	A11	Vitamins	44647	2435	0.0545	0	3.358
D04	Antipruritics, including antihistamines, anesthetics, etc.	N06	Psychoanaleptics	44159	323	0.0073	0	0.482
D09	Medicated dressings	N04	Anti-parkinson drugs	44088	1134	0.0257	0	0.723
D05	Antipsoriatics	H05	Calcium homeostasis	43738	832	0.019	0	5.808
A05	Bile and liver therapy	M03	Muscle relaxants	43558	457	0.0105	0	1.088
C05	Vasoprotectives	N07	Other nervous system drugs	43518	1183	0.0272	0	1.327
A10	Drugs used in diabetes	R02	Throat preparations	43479	<100	 	0	0.162
A05	Bile and liver therapy	S02	Otologicals	43410	1241	0.0286	0	1.692
C05	Vasoprotectives	L02	Endocrine therapy	42754	2034	0.0476	0	1.096
A05	Bile and liver therapy	J05	Antivirals for systemic use	42752	1315	0.0308	0	1.563
C04	Peripheral vasodilators	M04	Antigout preparations	42705	567	0.0133	0	3.535
A01	Stomatological preparations	N07	Other nervous system drugs	42690	2488	0.0583	0	0.631
H01	Pituitary and hypothalamic hormones and analogues	S01	Ophthalmologicals	42577	2444	0.0574	0	0.594
D08	Antiseptics and disinfectants	N03	Antiepileptics	42362	377	0.0089	0	1.501
A01	Stomatological preparations	A06	Drugs for constipation	42203	2792	0.0662	0	0.61
D08	Antiseptics and disinfectants	R01	Nasal preparations	42141	1279	0.0304	0	1.381
N07	Other nervous system drugs	V03	All other therapeutic products	42141	221	0.0052	0	2.429
G02	Other gynecologicals	R05	Cough and cold preparations	42028	<100	 	0	3.62
D01	Antifungals for dermatological use	L03	Immunostimulants	41895	1763	0.0421	0	1.24
C08	Calcium channel blockers	D03	Preparations for treatment of wounds and ulcers	41607	181	0.0044	0	2.188
A06	Drugs for constipation	H05	Calcium homeostasis	41288	726	0.0176	0	2.787
A09	Digestives, including enzymes	C08	Calcium channel blockers	41009	338	0.0082	0	1.648
A08	Antiobesity preparations, excluding diet products	P01	Antiprotozoals	41007	3714	0.0906	0	1.119
A12	Mineral supplements	L04	Immunosuppressants	41007	965	0.0235	0	1.643
A16	Other alimentary tract and metabolism products	N05	Psycholeptics	40904	1024	0.025	0	1.55
A12	Mineral supplements	M05	Drugs for treatment of bone diseases	40806	1297	0.0318	0	1.35
L01	Antineoplastic agents	N01	Anesthetics	40636	342	0.0084	0	2.298
A03	Drugs for functional gastrointestinal disorders	L03	Immunostimulants	40429	728	0.018	0	1.266
A04	Antiemetics and antinauseants	J02	Antimycotics for systemic use	40377	1439	0.0356	0	1.195
C02	Antihypertensives	H01	Pituitary and hypothalamic hormones and analogues	40342	3085	0.0765	0	2.166
D05	Antipsoriatics	M02	Topical products for joint and muscular pain	40328	814	0.0202	0	0.993
D04	Antipruritics, including antihistamines, anesthetics, etc.	R01	Nasal preparations	39900	308	0.0077	0	1.53
A09	Digestives, including enzymes	J01	Antibacterials for systemic use	39796	782	0.0197	0	0.895
M01	Anti-inflammatory and antirheumatic products	P03	Ectoparasiticides, including scabicides, insecticides and repellents	39791	2452	0.0616	0	0.663
A04	Antiemetics and antinauseants	V03	All other therapeutic products	39766	100	0.0025	0	1.966
A12	Mineral supplements	L01	Antineoplastic agents	39318	817	0.0208	0	1.686
A02	Drugs for acid related disorders	A16	Other alimentary tract and metabolism products	39230	2241	0.0571	0	1.439
C05	Vasoprotectives	D08	Antiseptics and disinfectants	38905	1492	0.0383	0	23.69
P03	Ectoparasiticides, including scabicides, insecticides and repellents	S02	Otologicals	38815	3569	0.0919	0	1.785
H01	Pituitary and hypothalamic hormones and analogues	M01	Anti-inflammatory and antirheumatic products	38716	1938	0.0501	0	0.371
A06	Drugs for constipation	V03	All other therapeutic products	38657	196	0.0051	0	2.178
C04	Peripheral vasodilators	M03	Muscle relaxants	38646	366	0.0095	0	1.721
L01	Antineoplastic agents	V03	All other therapeutic products	38428	757	0.0197	0	0.749
B03	Antianemic preparations	C08	Calcium channel blockers	38190	195	0.0051	0	3.526
G01	Gynecological antiinfectives and antiseptics	L03	Immunostimulants	38043	1606	0.0422	0	0.758
C04	Peripheral vasodilators	M05	Drugs for treatment of bone diseases	38020	627	0.0165	0	2.562
H05	Calcium homeostasis	M02	Topical products for joint and muscular pain	37959	737	0.0194	0	1.407
B01	Antithrombotic agents	H01	Pituitary and hypothalamic hormones and analogues	37785	588	0.0156	0	0.455
A06	Drugs for constipation	J02	Antimycotics for systemic use	37747	1996	0.0529	0	1.272
D06	Antibiotics and chemotherapeutics for dermatological use	L03	Immunostimulants	37664	1665	0.0442	0	1.209
D08	Antiseptics and disinfectants	R05	Cough and cold preparations	37252	<100	 	0	1.181
A02	Drugs for acid related disorders	B03	Antianemic preparations	37051	207	0.0056	0	2.579
H04	Pancreatic hormones	N05	Psycholeptics	37047	244	0.0066	0	0.746
A10	Drugs used in diabetes	B03	Antianemic preparations	36997	322	0.0087	0	2.071
H05	Calcium homeostasis	L02	Endocrine therapy	36982	1939	0.0524	0	2.147
B01	Antithrombotic agents	D08	Antiseptics and disinfectants	36933	257	0.007	0	2.157
H05	Calcium homeostasis	J05	Antivirals for systemic use	36540	1176	0.0322	0	0.636
L04	Immunosuppressants	N01	Anesthetics	36373	216	0.0059	0	1.922
H01	Pituitary and hypothalamic hormones and analogues	M03	Muscle relaxants	36172	632	0.0175	0	0.613
C02	Antihypertensives	D09	Medicated dressings	36099	801	0.0222	0	0.821
A09	Digestives, including enzymes	N02	Analgesics	36079	298	0.0083	0	0.963
C09	Agents acting on the renin-angiotensin system	D04	Antipruritics, including antihistamines, anesthetics, etc.	35985	<100	 	0	0.465
H04	Pancreatic hormones	N03	Antiepileptics	35940	243	0.0068	0	1.227
A05	Bile and liver therapy	D06	Antibiotics and chemotherapeutics for dermatological use	35643	704	0.0198	0	2.437
D03	Preparations for treatment of wounds and ulcers	H03	Thyroid therapy	35560	376	0.0106	0	1.702
N01	Anesthetics	S02	Otologicals	35375	128	0.0036	0	1.591
C08	Calcium channel blockers	R02	Throat preparations	35328	<100	 	0	0.217
D04	Antipruritics, including antihistamines, anesthetics, etc.	N02	Analgesics	35215	<100	 	0	0.734
A09	Digestives, including enzymes	A10	Drugs used in diabetes	35154	375	0.0107	0	0.856
A09	Digestives, including enzymes	N05	Psycholeptics	35113	682	0.0194	0	1.098
A08	Antiobesity preparations, excluding diet products	D06	Antibiotics and chemotherapeutics for dermatological use	34863	2921	0.0838	0	1.08
P01	Antiprotozoals	V03	All other therapeutic products	34679	196	0.0057	0	0.83
J02	Antimycotics for systemic use	N07	Other nervous system drugs	34611	2026	0.0585	0	1.194
D06	Antibiotics and chemotherapeutics for dermatological use	H05	Calcium homeostasis	34453	596	0.0173	0	1.122
M04	Antigout preparations	N01	Anesthetics	34442	<100	 	0	1.845
A05	Bile and liver therapy	L01	Antineoplastic agents	34200	1642	0.048	0	1.676
A06	Drugs for constipation	D05	Antipsoriatics	34109	712	0.0209	0	1.53
C05	Vasoprotectives	P03	Ectoparasiticides, including scabicides, insecticides and repellents	34043	2962	0.087	0	7.438
A08	Antiobesity preparations, excluding diet products	B01	Antithrombotic agents	33994	1140	0.0335	0	0.274
C08	Calcium channel blockers	H04	Pancreatic hormones	33943	<100	 	0	0.878
H01	Pituitary and hypothalamic hormones and analogues	N04	Anti-parkinson drugs	33729	1159	0.0344	0	1.305
D06	Antibiotics and chemotherapeutics for dermatological use	V03	All other therapeutic products	33308	153	0.0046	0	0.905
M02	Topical products for joint and muscular pain	V03	All other therapeutic products	33284	<100	 	0	1.029
A12	Mineral supplements	D11	Other dermatological preparations	33162	1091	0.0329	0	3.703
D08	Antiseptics and disinfectants	R03	Drugs for obstructive airway diseases	33143	311	0.0094	0	0.874
A03	Drugs for functional gastrointestinal disorders	A12	Mineral supplements	33057	354	0.0107	0	1.929
P02	Anthelmintics	R01	Nasal preparations	33051	4789	0.1449	0	1.14
C02	Antihypertensives	N01	Anesthetics	33010	<100	 	0	3.016
A03	Drugs for functional gastrointestinal disorders	N01	Anesthetics	32924	<100	 	0	2.534
A03	Drugs for functional gastrointestinal disorders	A08	Antiobesity preparations, excluding diet products	32914	1025	0.0311	0	0.995
N05	Psycholeptics	P02	Anthelmintics	32676	2066	0.0632	0	0.719
C04	Peripheral vasodilators	D07	Corticosteroids, dermatological preparations	32494	680	0.0209	0	1.298
G01	Gynecological antiinfectives and antiseptics	P03	Ectoparasiticides, including scabicides, insecticides and repellents	32412	2066	0.0637	0	1.624
A09	Digestives, including enzymes	N03	Antiepileptics	32385	315	0.0097	0	1.717
B02	Antihemorrhagics	N06	Psychoanaleptics	32379	6378	0.197	0	0.73
A08	Antiobesity preparations, excluding diet products	N04	Anti-parkinson drugs	32335	1581	0.0489	0	0.836
A11	Vitamins	N01	Anesthetics	32262	142	0.0044	0	2.8
A01	Stomatological preparations	L02	Endocrine therapy	32107	2832	0.0882	0	0.399
C10	Lipid modifying agents	D04	Antipruritics, including antihistamines, anesthetics, etc.	32030	<100	 	0	0.363
G01	Gynecological antiinfectives and antiseptics	N01	Anesthetics	31917	142	0.0044	0	1.564
A12	Mineral supplements	C02	Antihypertensives	31657	415	0.0131	0	2.193
C02	Antihypertensives	C04	Peripheral vasodilators	31568	252	0.008	0	4.457
B03	Antianemic preparations	N02	Analgesics	31306	135	0.0043	0	1.919
A16	Other alimentary tract and metabolism products	J01	Antibacterials for systemic use	31117	3769	0.1211	0	0.848
D08	Antiseptics and disinfectants	G04	Urologicals	31034	381	0.0123	0	1.555
D01	Antifungals for dermatological use	V03	All other therapeutic products	30996	292	0.0094	0	0.777
D09	Medicated dressings	D11	Other dermatological preparations	30845	1054	0.0342	0	1.131
D09	Medicated dressings	N07	Other nervous system drugs	30830	1457	0.0473	0	1.284
J04	Antimycobacterials	M05	Drugs for treatment of bone diseases	30751	917	0.0298	0	0.764
A02	Drugs for acid related disorders	D04	Antipruritics, including antihistamines, anesthetics, etc.	30719	150	0.0049	0	0.727
A05	Bile and liver therapy	A06	Drugs for constipation	30620	860	0.0281	0	4.338
A09	Digestives, including enzymes	H03	Thyroid therapy	30553	1440	0.0471	0	1.118
L03	Immunostimulants	P01	Antiprotozoals	30391	1452	0.0478	0	0.859
D05	Antipsoriatics	L02	Endocrine therapy	30335	941	0.031	0	1.17
A04	Antiemetics and antinauseants	D11	Other dermatological preparations	30184	637	0.0211	0	0.544
A11	Vitamins	A12	Mineral supplements	30072	841	0.028	0	1.979
H05	Calcium homeostasis	N01	Anesthetics	29840	<100	 	0	14.443
B06	Other hematological agents	N06	Psychoanaleptics	29838	<100	 	0	1.679
B05	Blood substitutes and perfusion solutions	C10	Lipid modifying agents	29650	<100	 	0	1.197
A08	Antiobesity preparations, excluding diet products	L04	Immunosuppressants	29493	1709	0.0579	0	0.612
A01	Stomatological preparations	D09	Medicated dressings	29403	3001	0.1021	0	0.758
H01	Pituitary and hypothalamic hormones and analogues	S02	Otologicals	29363	2036	0.0693	0	0.776
C01	Cardiac therapy	L03	Immunostimulants	29311	552	0.0188	0	0.456
B03	Antianemic preparations	N06	Psychoanaleptics	29245	342	0.0117	0	0.937
B05	Blood substitutes and perfusion solutions	C09	Agents acting on the renin-angiotensin system	29240	<100	 	0	1.348
M03	Muscle relaxants	R02	Throat preparations	29223	<100	 	0	0.549
C01	Cardiac therapy	J04	Antimycobacterials	29110	320	0.011	0	0.634
C05	Vasoprotectives	H05	Calcium homeostasis	29002	258	0.0089	0	2.558
D01	Antifungals for dermatological use	H05	Calcium homeostasis	28805	487	0.0169	0	0.865
C03	Diuretics	D04	Antipruritics, including antihistamines, anesthetics, etc.	28802	<100	 	0	0.455
J05	Antivirals for systemic use	N01	Anesthetics	28708	397	0.0138	0	1.211
G03	Sex hormones and modulators of the genital system	H04	Pancreatic hormones	28684	725	0.0253	0	0.314
D01	Antifungals for dermatological use	N01	Anesthetics	28467	147	0.0052	0	2.071
H05	Calcium homeostasis	N07	Other nervous system drugs	28419	368	0.0129	0	1.963
H04	Pancreatic hormones	R03	Drugs for obstructive airway diseases	28178	300	0.0106	0	0.716
P02	Anthelmintics	P03	Ectoparasiticides, including scabicides, insecticides and repellents	28155	5355	0.1902	0	101.247
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	C04	Peripheral vasodilators	28090	163	0.0058	0	1.497
D01	Antifungals for dermatological use	R02	Throat preparations	28017	<100	 	0	1.327
C01	Cardiac therapy	D03	Preparations for treatment of wounds and ulcers	27899	101	0.0036	0	5.95
D03	Preparations for treatment of wounds and ulcers	R01	Nasal preparations	27891	417	0.015	0	1.79
A04	Antiemetics and antinauseants	A05	Bile and liver therapy	27771	402	0.0145	0	3.453
A08	Antiobesity preparations, excluding diet products	D10	Anti-acne preparations	27616	2244	0.0813	0	0.647
D08	Antiseptics and disinfectants	M01	Anti-inflammatory and antirheumatic products	27591	370	0.0134	0	1.281
M03	Muscle relaxants	P03	Ectoparasiticides, including scabicides, insecticides and repellents	27511	615	0.0224	0	0.811
D04	Antipruritics, including antihistamines, anesthetics, etc.	G03	Sex hormones and modulators of the genital system	27402	166	0.0061	0	0.364
A09	Digestives, including enzymes	G04	Urologicals	27379	481	0.0176	0	2.053
C04	Peripheral vasodilators	L01	Antineoplastic agents	27189	354	0.013	0	2.376
H01	Pituitary and hypothalamic hormones and analogues	L02	Endocrine therapy	26897	8648	0.3215	0	2.223
A06	Drugs for constipation	D09	Medicated dressings	26879	1408	0.0524	0	1.094
A08	Antiobesity preparations, excluding diet products	M04	Antigout preparations	26795	939	0.035	0	0.564
A05	Bile and liver therapy	D01	Antifungals for dermatological use	26650	472	0.0177	0	1.68
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	P03	Ectoparasiticides, including scabicides, insecticides and repellents	26520	1283	0.0484	0	0.935
D03	Preparations for treatment of wounds and ulcers	G04	Urologicals	26428	272	0.0103	0	2.594
P03	Ectoparasiticides, including scabicides, insecticides and repellents	S01	Ophthalmologicals	26405	1280	0.0485	0	0.641
B01	Antithrombotic agents	H04	Pancreatic hormones	26392	<100	 	0	1.485
D09	Medicated dressings	L02	Endocrine therapy	26214	1923	0.0734	0	0.918
J02	Antimycotics for systemic use	L02	Endocrine therapy	26166	1513	0.0578	0	0.758
D08	Antiseptics and disinfectants	G03	Sex hormones and modulators of the genital system	26134	1412	0.054	0	0.296
J02	Antimycotics for systemic use	J04	Antimycobacterials	25944	1573	0.0606	0	3.57
N01	Anesthetics	N04	Anti-parkinson drugs	25909	165	0.0064	0	1.706
D04	Antipruritics, including antihistamines, anesthetics, etc.	N05	Psycholeptics	25900	<100	 	0	0.633
B06	Other hematological agents	C03	Diuretics	25891	<100	 	0	2.111
A04	Antiemetics and antinauseants	D05	Antipsoriatics	25863	296	0.0114	0	1.018
D05	Antipsoriatics	N07	Other nervous system drugs	25850	441	0.0171	0	1.187
M02	Topical products for joint and muscular pain	N01	Anesthetics	25796	468	0.0181	0	2.316
A09	Digestives, including enzymes	M04	Antigout preparations	25622	<100	 	0	5.852
A08	Antiobesity preparations, excluding diet products	M05	Drugs for treatment of bone diseases	25605	1313	0.0513	0	0.439
B06	Other hematological agents	N02	Analgesics	25600	<100	 	0	2.755
H04	Pancreatic hormones	R05	Cough and cold preparations	25354	<100	 	0	0.774
A12	Mineral supplements	N04	Anti-parkinson drugs	25307	442	0.0175	0	1.264
B05	Blood substitutes and perfusion solutions	C03	Diuretics	25240	<100	 	0	1.423
B05	Blood substitutes and perfusion solutions	C07	Beta blocking agents	25209	<100	 	0	1.936
J04	Antimycobacterials	M04	Antigout preparations	24965	826	0.0331	0	0.762
D06	Antibiotics and chemotherapeutics for dermatological use	N01	Anesthetics	24787	112	0.0045	0	1.956
G01	Gynecological antiinfectives and antiseptics	H01	Pituitary and hypothalamic hormones and analogues	24706	1658	0.0671	0	0.711
A16	Other alimentary tract and metabolism products	R03	Drugs for obstructive airway diseases	24462	1311	0.0536	0	1.169
H01	Pituitary and hypothalamic hormones and analogues	J05	Antivirals for systemic use	24424	2391	0.0979	0	0.605
B01	Antithrombotic agents	P03	Ectoparasiticides, including scabicides, insecticides and repellents	24323	300	0.0123	0	0.51
B06	Other hematological agents	C07	Beta blocking agents	24309	<100	 	0	2.7
D11	Other dermatological preparations	H05	Calcium homeostasis	24287	237	0.0098	0	1.477
A12	Mineral supplements	G01	Gynecological antiinfectives and antiseptics	24183	408	0.0169	0	0.898
A05	Bile and liver therapy	G01	Gynecological antiinfectives and antiseptics	24122	561	0.0233	0	1.024
B03	Antianemic preparations	H03	Thyroid therapy	24071	396	0.0165	0	2.023
H04	Pancreatic hormones	R01	Nasal preparations	24044	213	0.0089	0	0.759
L03	Immunostimulants	M02	Topical products for joint and muscular pain	24036	760	0.0316	0	0.878
A11	Vitamins	H01	Pituitary and hypothalamic hormones and analogues	23990	1038	0.0433	0	1.224
A06	Drugs for constipation	L03	Immunostimulants	23946	838	0.035	0	1.593
C04	Peripheral vasodilators	L04	Immunosuppressants	23872	355	0.0149	0	1.949
D03	Preparations for treatment of wounds and ulcers	R03	Drugs for obstructive airway diseases	23744	126	0.0053	0	1.226
A12	Mineral supplements	P01	Antiprotozoals	23715	533	0.0225	0	1.249
D08	Antiseptics and disinfectants	R06	Antihistamines for systemic use	23604	215	0.0091	0	1.236
A03	Drugs for functional gastrointestinal disorders	J04	Antimycobacterials	23519	532	0.0226	0	1.031
C04	Peripheral vasodilators	N04	Anti-parkinson drugs	23503	201	0.0086	0	2.392
N01	Anesthetics	P01	Antiprotozoals	23479	149	0.0063	0	1.631
D08	Antiseptics and disinfectants	S01	Ophthalmologicals	23465	231	0.0098	0	1.588
G02	Other gynecologicals	G03	Sex hormones and modulators of the genital system	23360	2409	0.1031	0	0.72
A11	Vitamins	J04	Antimycobacterials	23229	1121	0.0483	0	1.148
A02	Drugs for acid related disorders	B06	Other hematological agents	23146	<100	 	0	2.828
D01	Antifungals for dermatological use	P03	Ectoparasiticides, including scabicides, insecticides and repellents	23144	1792	0.0774	0	1.722
H01	Pituitary and hypothalamic hormones and analogues	M05	Drugs for treatment of bone diseases	23085	571	0.0247	0	0.592
D04	Antipruritics, including antihistamines, anesthetics, etc.	H02	Corticosteroids for systemic use	23073	135	0.0059	0	1.951
A03	Drugs for functional gastrointestinal disorders	H01	Pituitary and hypothalamic hormones and analogues	23040	911	0.0395	0	1.042
A02	Drugs for acid related disorders	B05	Blood substitutes and perfusion solutions	23019	<100	 	0	1.944
G02	Other gynecologicals	N06	Psychoanaleptics	23009	801	0.0348	0	0.583
A08	Antiobesity preparations, excluding diet products	N07	Other nervous system drugs	22872	2224	0.0972	0	1.503
A03	Drugs for functional gastrointestinal disorders	C04	Peripheral vasodilators	22847	<100	 	0	2.717
B01	Antithrombotic agents	B03	Antianemic preparations	22766	105	0.0046	0	4.571
A12	Mineral supplements	M02	Topical products for joint and muscular pain	22568	473	0.021	0	1.536
H01	Pituitary and hypothalamic hormones and analogues	L01	Antineoplastic agents	22521	1350	0.0599	0	0.748
B05	Blood substitutes and perfusion solutions	C08	Calcium channel blockers	22491	<100	 	0	2.519
G03	Sex hormones and modulators of the genital system	P02	Anthelmintics	22341	5298	0.2371	0	0.267
G01	Gynecological antiinfectives and antiseptics	R02	Throat preparations	22302	<100	 	0	0.711
J05	Antivirals for systemic use	R02	Throat preparations	22145	<100	 	0	0.608
L03	Immunostimulants	M04	Antigout preparations	21864	639	0.0292	0	0.476
A04	Antiemetics and antinauseants	H05	Calcium homeostasis	21805	143	0.0066	0	1.292
C05	Vasoprotectives	D09	Medicated dressings	21792	1033	0.0474	0	1.159
A04	Antiemetics and antinauseants	J04	Antimycobacterials	21673	409	0.0189	0	1.771
C04	Peripheral vasodilators	P01	Antiprotozoals	21327	446	0.0209	0	2.289
H02	Corticosteroids for systemic use	P02	Anthelmintics	21327	2582	0.1211	0	1.623
H01	Pituitary and hypothalamic hormones and analogues	L04	Immunosuppressants	21296	1186	0.0557	0	0.661
B03	Antianemic preparations	J01	Antibacterials for systemic use	21264	269	0.0127	0	1.099
C01	Cardiac therapy	H01	Pituitary and hypothalamic hormones and analogues	21238	283	0.0133	0	0.477
C05	Vasoprotectives	V03	All other therapeutic products	21214	<100	 	0	1.562
N02	Analgesics	P02	Anthelmintics	21202	651	0.0307	0	0.398
D07	Corticosteroids, dermatological preparations	P02	Anthelmintics	21193	2359	0.1113	0	1.643
A02	Drugs for acid related disorders	P02	Anthelmintics	21141	2512	0.1188	0	0.451
B03	Antianemic preparations	N05	Psycholeptics	21104	201	0.0095	0	1.517
D10	Anti-acne preparations	H01	Pituitary and hypothalamic hormones and analogues	21096	2941	0.1394	0	0.74
A09	Digestives, including enzymes	R03	Drugs for obstructive airway diseases	21017	247	0.0118	0	0.829
H04	Pancreatic hormones	S01	Ophthalmologicals	20976	101	0.0048	0	1.368
D03	Preparations for treatment of wounds and ulcers	S01	Ophthalmologicals	20810	208	0.01	0	2.757
B06	Other hematological agents	N05	Psycholeptics	20701	<100	 	0	2.612
B06	Other hematological agents	C10	Lipid modifying agents	20598	<100	 	0	1.203
A06	Drugs for constipation	A08	Antiobesity preparations, excluding diet products	20583	1586	0.0771	0	1.322
A12	Mineral supplements	J05	Antivirals for systemic use	20519	1163	0.0567	0	0.656
C10	Lipid modifying agents	P02	Anthelmintics	20243	1382	0.0683	0	0.206
B06	Other hematological agents	C09	Agents acting on the renin-angiotensin system	20112	<100	 	0	1.341
C04	Peripheral vasodilators	S02	Otologicals	20059	197	0.0098	0	1.394
A05	Bile and liver therapy	N04	Anti-parkinson drugs	19997	377	0.0189	0	1.141
D09	Medicated dressings	J02	Antimycotics for systemic use	19972	1216	0.0609	0	1.201
A01	Stomatological preparations	A08	Antiobesity preparations, excluding diet products	19866	2167	0.1091	0	0.809
A09	Digestives, including enzymes	R01	Nasal preparations	19834	452	0.0228	0	0.973
A09	Digestives, including enzymes	G03	Sex hormones and modulators of the genital system	19809	1708	0.0862	0	0.336
D07	Corticosteroids, dermatological preparations	D08	Antiseptics and disinfectants	19782	322	0.0163	0	1.457
A16	Other alimentary tract and metabolism products	N02	Analgesics	19605	332	0.0169	0	0.633
D04	Antipruritics, including antihistamines, anesthetics, etc.	D07	Corticosteroids, dermatological preparations	19601	234	0.0119	0	1.689
B02	Antihemorrhagics	N02	Analgesics	19575	1114	0.0569	0	0.844
C09	Agents acting on the renin-angiotensin system	P02	Anthelmintics	19571	727	0.0371	0	0.228
A14	Anabolic agents for systemic use	J05	Antivirals for systemic use	19544	1067	0.0546	0	23.962
B05	Blood substitutes and perfusion solutions	J01	Antibacterials for systemic use	19325	<100	 	0	1.212
C01	Cardiac therapy	D08	Antiseptics and disinfectants	19303	<100	 	0	2.103
B06	Other hematological agents	J01	Antibacterials for systemic use	19128	<100	 	0	1.736
A09	Digestives, including enzymes	R05	Cough and cold preparations	19121	<100	 	0	0.907
P02	Anthelmintics	R03	Drugs for obstructive airway diseases	18894	3376	0.1787	0	0.524
B03	Antianemic preparations	L04	Immunosuppressants	18873	360	0.0191	0	9.772
A08	Antiobesity preparations, excluding diet products	C01	Cardiac therapy	18817	539	0.0286	0	0.282
D04	Antipruritics, including antihistamines, anesthetics, etc.	S02	Otologicals	18394	444	0.0241	0	2.757
G04	Urologicals	H04	Pancreatic hormones	18324	<100	 	0	0.885
C07	Beta blocking agents	D04	Antipruritics, including antihistamines, anesthetics, etc.	18081	<100	 	0	0.389
D03	Preparations for treatment of wounds and ulcers	S02	Otologicals	18053	308	0.0171	0	4.531
G04	Urologicals	R02	Throat preparations	18041	<100	 	0	0.207
J05	Antivirals for systemic use	P03	Ectoparasiticides, including scabicides, insecticides and repellents	18006	2309	0.1282	0	0.777
A12	Mineral supplements	B05	Blood substitutes and perfusion solutions	17960	<100	 	0	189.772
B01	Antithrombotic agents	B06	Other hematological agents	17925	<100	 	0	6.317
A04	Antiemetics and antinauseants	R02	Throat preparations	17876	<100	 	0	1.671
H04	Pancreatic hormones	R06	Antihistamines for systemic use	17873	177	0.0099	0	0.902
A05	Bile and liver therapy	J02	Antimycotics for systemic use	17717	183	0.0103	0	3.71
B02	Antihemorrhagics	G03	Sex hormones and modulators of the genital system	17670	5152	0.2916	0	0.485
B02	Antihemorrhagics	J01	Antibacterials for systemic use	17570	2463	0.1402	0	0.639
A10	Drugs used in diabetes	B06	Other hematological agents	17468	<100	 	0	1.717
D03	Preparations for treatment of wounds and ulcers	H02	Corticosteroids for systemic use	17441	102	0.0058	0	2.469
B03	Antianemic preparations	H02	Corticosteroids for systemic use	17355	<100	 	0	4.313
H03	Thyroid therapy	P02	Anthelmintics	17344	2266	0.1307	0	0.446
A09	Digestives, including enzymes	B01	Antithrombotic agents	17289	<100	 	0	1.511
D08	Antiseptics and disinfectants	G01	Gynecological antiinfectives and antiseptics	17286	766	0.0443	0	2.413
A16	Other alimentary tract and metabolism products	H03	Thyroid therapy	17107	862	0.0504	0	0.758
