atc_A	atc_class_name_A	atc_B	atc_class_name_B	atc_C	atc_class_name_C	atleast_exposure_count	exact_exposure_count	fraction_exact	fraction_allwindows	observe_per_expect_1s	observe_per_expect_N1
C08	Calcium channel blockers	D06	Antibiotics and chemotherapeutics for dermatological use	S02	Otologicals	57397	223	0.0039	0	1.972	1.072
H02	Corticosteroids for systemic use	L02	Endocrine therapy	R05	Cough and cold preparations	57394	<100	 	0	2.339	0.986
G03	Sex hormones and modulators of the genital system	H02	Corticosteroids for systemic use	L02	Endocrine therapy	57385	2212	0.0385	0	0.837	0.797
A03	Drugs for functional gastrointestinal disorders	M04	Antigout preparations	R05	Cough and cold preparations	57379	<100	 	0	2.703	1.502
D05	Antipsoriatics	D07	Corticosteroids, dermatological preparations	G04	Urologicals	57360	3037	0.0529	0	8.615	1.136
H03	Thyroid therapy	M04	Antigout preparations	P01	Antiprotozoals	57357	527	0.0092	0	1.881	1.564
A02	Drugs for acid related disorders	J05	Antivirals for systemic use	M04	Antigout preparations	57324	802	0.014	0	0.945	0.613
A04	Antiemetics and antinauseants	B01	Antithrombotic agents	R03	Drugs for obstructive airway diseases	57321	136	0.0024	0	1.602	1.486
A03	Drugs for functional gastrointestinal disorders	J01	Antibacterials for systemic use	M02	Topical products for joint and muscular pain	57320	424	0.0074	0	2.147	1.228
A04	Antiemetics and antinauseants	H03	Thyroid therapy	S02	Otologicals	57316	852	0.0149	0	3.261	1.008
L01	Antineoplastic agents	S01	Ophthalmologicals	S02	Otologicals	57311	743	0.013	0	3.556	1.62
C08	Calcium channel blockers	D06	Antibiotics and chemotherapeutics for dermatological use	M04	Antigout preparations	57290	266	0.0046	0	2.344	0.906
A11	Vitamins	C09	Agents acting on the renin-angiotensin system	D05	Antipsoriatics	57278	391	0.0068	0	6.369	1.884
D06	Antibiotics and chemotherapeutics for dermatological use	R03	Drugs for obstructive airway diseases	S02	Otologicals	57265	885	0.0155	0	1.931	1.05
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	L01	Antineoplastic agents	P01	Antiprotozoals	57255	2694	0.0471	0	7.967	3.799
A04	Antiemetics and antinauseants	A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	D07	Corticosteroids, dermatological preparations	57242	418	0.0073	0	7.521	3.331
D05	Antipsoriatics	N05	Psycholeptics	R03	Drugs for obstructive airway diseases	57241	156	0.0027	0	1.284	1.338
C08	Calcium channel blockers	H02	Corticosteroids for systemic use	J02	Antimycotics for systemic use	57233	501	0.0088	0	3.396	1.441
C08	Calcium channel blockers	L04	Immunosuppressants	N07	Other nervous system drugs	57226	366	0.0064	0	4.898	1.703
D06	Antibiotics and chemotherapeutics for dermatological use	J05	Antivirals for systemic use	R03	Drugs for obstructive airway diseases	57223	1864	0.0326	0	1.81	0.775
A11	Vitamins	C09	Agents acting on the renin-angiotensin system	L02	Endocrine therapy	57219	1242	0.0217	0	2.782	1.441
D01	Antifungals for dermatological use	G04	Urologicals	S01	Ophthalmologicals	57202	612	0.0107	0	1.785	1.42
A03	Drugs for functional gastrointestinal disorders	A11	Vitamins	R05	Cough and cold preparations	57197	<100	 	0	4.366	2.426
D07	Corticosteroids, dermatological preparations	D11	Other dermatological preparations	G01	Gynecological antiinfectives and antiseptics	57196	2965	0.0518	0	10.954	1.773
A10	Drugs used in diabetes	C05	Vasoprotectives	M04	Antigout preparations	57190	124	0.0022	0	3.842	2.23
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	C01	Cardiac therapy	M01	Anti-inflammatory and antirheumatic products	57183	191	0.0033	0	1.261	1.034
A04	Antiemetics and antinauseants	G04	Urologicals	H03	Thyroid therapy	57182	361	0.0063	0	1.272	1.249
A05	Bile and liver therapy	C09	Agents acting on the renin-angiotensin system	N02	Analgesics	57168	161	0.0028	0	1.447	1.229
C09	Agents acting on the renin-angiotensin system	N04	Anti-parkinson drugs	N07	Other nervous system drugs	57163	218	0.0038	0	2.509	1.285
A10	Drugs used in diabetes	C01	Cardiac therapy	N07	Other nervous system drugs	57137	114	0.002	0	2.145	1.513
D01	Antifungals for dermatological use	L04	Immunosuppressants	R01	Nasal preparations	57136	620	0.0109	0	2.595	1.686
A11	Vitamins	G03	Sex hormones and modulators of the genital system	L01	Antineoplastic agents	57131	1430	0.025	0	1.147	0.779
A11	Vitamins	J01	Antibacterials for systemic use	M04	Antigout preparations	57130	311	0.0054	0	1.44	0.793
D01	Antifungals for dermatological use	M05	Drugs for treatment of bone diseases	N05	Psycholeptics	57130	631	0.011	0	1.366	1.204
A05	Bile and liver therapy	A10	Drugs used in diabetes	N06	Psychoanaleptics	57122	620	0.0109	0	1.114	1.125
A01	Stomatological preparations	D10	Anti-acne preparations	R06	Antihistamines for systemic use	57113	4287	0.0751	0	6.664	0.752
A11	Vitamins	L01	Antineoplastic agents	R05	Cough and cold preparations	57104	<100	 	0	3.203	2.177
A11	Vitamins	D01	Antifungals for dermatological use	H03	Thyroid therapy	57090	2071	0.0363	0	3.177	1.564
A11	Vitamins	B01	Antithrombotic agents	G03	Sex hormones and modulators of the genital system	57058	394	0.0069	0	0.415	0.275
D07	Corticosteroids, dermatological preparations	D10	Anti-acne preparations	L01	Antineoplastic agents	57035	2108	0.037	0	5.109	1.527
C07	Beta blocking agents	D10	Anti-acne preparations	M01	Anti-inflammatory and antirheumatic products	57029	664	0.0116	0	0.368	0.362
D06	Antibiotics and chemotherapeutics for dermatological use	J05	Antivirals for systemic use	R06	Antihistamines for systemic use	57010	1659	0.0291	0	3.582	1.534
C08	Calcium channel blockers	D10	Anti-acne preparations	G01	Gynecological antiinfectives and antiseptics	57006	1985	0.0348	0	1.613	0.117
A08	Antiobesity preparations, excluding diet products	G03	Sex hormones and modulators of the genital system	N03	Antiepileptics	57002	4512	0.0792	0	1.335	0.847
A02	Drugs for acid related disorders	D10	Anti-acne preparations	L04	Immunosuppressants	56970	855	0.015	0	1.311	0.806
D01	Antifungals for dermatological use	M05	Drugs for treatment of bone diseases	N02	Analgesics	56969	284	0.005	0	1.162	1.066
H05	Calcium homeostasis	N02	Analgesics	R06	Antihistamines for systemic use	56968	139	0.0024	0	3.256	1.969
A03	Drugs for functional gastrointestinal disorders	C10	Lipid modifying agents	D11	Other dermatological preparations	56966	362	0.0064	0	2.253	1.309
A11	Vitamins	C09	Agents acting on the renin-angiotensin system	H05	Calcium homeostasis	56953	516	0.0091	0	9.53	1.723
A04	Antiemetics and antinauseants	R03	Drugs for obstructive airway diseases	S02	Otologicals	56943	1929	0.0339	0	3.493	1.08
C03	Diuretics	J05	Antivirals for systemic use	P01	Antiprotozoals	56934	880	0.0155	0	0.813	0.735
A01	Stomatological preparations	C08	Calcium channel blockers	H03	Thyroid therapy	56925	626	0.011	0	0.49	0.406
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	C10	Lipid modifying agents	D10	Anti-acne preparations	56920	472	0.0083	0	0.408	0.54
A11	Vitamins	B01	Antithrombotic agents	M03	Muscle relaxants	56913	128	0.0022	0	2.998	1.668
A10	Drugs used in diabetes	D10	Anti-acne preparations	R01	Nasal preparations	56894	677	0.0119	0	0.229	0.298
D07	Corticosteroids, dermatological preparations	L04	Immunosuppressants	S02	Otologicals	56893	1833	0.0322	0	3.59	1.017
C02	Antihypertensives	C09	Agents acting on the renin-angiotensin system	D06	Antibiotics and chemotherapeutics for dermatological use	56874	299	0.0053	0	1.633	0.854
A06	Drugs for constipation	J01	Antibacterials for systemic use	S02	Otologicals	56865	1851	0.0326	0	2.267	1.318
A01	Stomatological preparations	D01	Antifungals for dermatological use	J01	Antibacterials for systemic use	56857	3515	0.0618	0	2.323	1.325
C07	Beta blocking agents	D01	Antifungals for dermatological use	M04	Antigout preparations	56853	267	0.0047	0	1.47	0.568
C07	Beta blocking agents	D01	Antifungals for dermatological use	J05	Antivirals for systemic use	56830	729	0.0128	0	1.157	0.663
C01	Cardiac therapy	M04	Antigout preparations	S02	Otologicals	56827	510	0.009	0	5.376	1.21
B01	Antithrombotic agents	G03	Sex hormones and modulators of the genital system	P01	Antiprotozoals	56822	592	0.0104	0	0.331	0.328
M04	Antigout preparations	N04	Anti-parkinson drugs	R03	Drugs for obstructive airway diseases	56816	162	0.0029	0	1.905	1.651
A02	Drugs for acid related disorders	A04	Antiemetics and antinauseants	D06	Antibiotics and chemotherapeutics for dermatological use	56804	552	0.0097	0	4.694	2.696
C09	Agents acting on the renin-angiotensin system	D01	Antifungals for dermatological use	M02	Topical products for joint and muscular pain	56802	362	0.0064	0	1.478	1.141
A11	Vitamins	G01	Gynecological antiinfectives and antiseptics	N05	Psycholeptics	56799	471	0.0083	0	1.82	1.42
C03	Diuretics	J02	Antimycotics for systemic use	R06	Antihistamines for systemic use	56798	279	0.0049	0	1.228	1.189
A01	Stomatological preparations	C09	Agents acting on the renin-angiotensin system	S01	Ophthalmologicals	56783	564	0.0099	0	0.557	0.529
M05	Drugs for treatment of bone diseases	N05	Psycholeptics	N07	Other nervous system drugs	56779	641	0.0113	0	3.123	1.461
A06	Drugs for constipation	M01	Anti-inflammatory and antirheumatic products	R03	Drugs for obstructive airway diseases	56772	435	0.0077	0	1.437	1.182
A10	Drugs used in diabetes	J02	Antimycotics for systemic use	R05	Cough and cold preparations	56771	<100	 	0	0.896	1.067
C02	Antihypertensives	D07	Corticosteroids, dermatological preparations	N03	Antiepileptics	56764	328	0.0058	0	1.712	1.227
C02	Antihypertensives	M02	Topical products for joint and muscular pain	N02	Analgesics	56756	184	0.0032	0	2.992	1.486
L01	Antineoplastic agents	P01	Antiprotozoals	R06	Antihistamines for systemic use	56745	485	0.0085	0	4.208	2.032
C05	Vasoprotectives	D07	Corticosteroids, dermatological preparations	R06	Antihistamines for systemic use	56673	1836	0.0324	0	5.908	2.121
C01	Cardiac therapy	D11	Other dermatological preparations	R05	Cough and cold preparations	56673	<100	 	0	3.644	1.168
C05	Vasoprotectives	H03	Thyroid therapy	S01	Ophthalmologicals	56653	564	0.01	0	2.533	1.71
D06	Antibiotics and chemotherapeutics for dermatological use	N02	Analgesics	N04	Anti-parkinson drugs	56635	168	0.003	0	1.892	1.572
C10	Lipid modifying agents	M04	Antigout preparations	N07	Other nervous system drugs	56608	767	0.0135	0	1.77	0.968
B01	Antithrombotic agents	H02	Corticosteroids for systemic use	J05	Antivirals for systemic use	56600	292	0.0052	0	1.275	1
A06	Drugs for constipation	C03	Diuretics	L01	Antineoplastic agents	56595	283	0.005	0	2.549	1.691
C08	Calcium channel blockers	J02	Antimycotics for systemic use	R03	Drugs for obstructive airway diseases	56595	224	0.004	0	1.225	1.361
D07	Corticosteroids, dermatological preparations	D10	Anti-acne preparations	N03	Antiepileptics	56593	722	0.0128	0	1.115	0.936
B01	Antithrombotic agents	H05	Calcium homeostasis	R03	Drugs for obstructive airway diseases	56578	109	0.0019	0	5.333	1.547
A03	Drugs for functional gastrointestinal disorders	C07	Beta blocking agents	D06	Antibiotics and chemotherapeutics for dermatological use	56575	140	0.0025	0	2.28	1.644
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	L01	Antineoplastic agents	M05	Drugs for treatment of bone diseases	56558	1655	0.0293	0	4.942	2.368
A02	Drugs for acid related disorders	N01	Anesthetics	N03	Antiepileptics	56543	139	0.0025	0	6.015	2.58
C07	Beta blocking agents	D06	Antibiotics and chemotherapeutics for dermatological use	G01	Gynecological antiinfectives and antiseptics	56505	392	0.0069	0	1.449	0.837
C02	Antihypertensives	H05	Calcium homeostasis	N02	Analgesics	56501	143	0.0025	0	16.058	2.72
C07	Beta blocking agents	C09	Agents acting on the renin-angiotensin system	J04	Antimycobacterials	56500	453	0.008	0	0.971	0.477
A11	Vitamins	C10	Lipid modifying agents	D11	Other dermatological preparations	56497	978	0.0173	0	2.519	1.463
G01	Gynecological antiinfectives and antiseptics	M05	Drugs for treatment of bone diseases	R01	Nasal preparations	56479	543	0.0096	0	1.426	1.157
H02	Corticosteroids for systemic use	J02	Antimycotics for systemic use	R05	Cough and cold preparations	56476	112	0.002	0	3.955	1.668
C01	Cardiac therapy	R06	Antihistamines for systemic use	S02	Otologicals	56476	134	0.0024	0	1.833	1.193
L01	Antineoplastic agents	L02	Endocrine therapy	N02	Analgesics	56462	778	0.0138	0	2.886	1.902
C10	Lipid modifying agents	L02	Endocrine therapy	S02	Otologicals	56444	981	0.0174	0	1.245	1.215
D06	Antibiotics and chemotherapeutics for dermatological use	G04	Urologicals	S02	Otologicals	56443	1837	0.0325	0	3.619	1.761
J01	Antibacterials for systemic use	J02	Antimycotics for systemic use	M01	Anti-inflammatory and antirheumatic products	56440	2757	0.0488	0	1.204	1.245
A04	Antiemetics and antinauseants	N03	Antiepileptics	P01	Antiprotozoals	56430	200	0.0035	0	7.185	2.634
A01	Stomatological preparations	C08	Calcium channel blockers	R01	Nasal preparations	56418	467	0.0083	0	0.651	0.578
C01	Cardiac therapy	D05	Antipsoriatics	N06	Psychoanaleptics	56415	103	0.0018	0	2.331	0.992
H05	Calcium homeostasis	N05	Psycholeptics	S01	Ophthalmologicals	56415	285	0.0051	0	4.887	1.962
A06	Drugs for constipation	D07	Corticosteroids, dermatological preparations	N03	Antiepileptics	56412	294	0.0052	0	3.045	1.798
D11	Other dermatological preparations	G01	Gynecological antiinfectives and antiseptics	G04	Urologicals	56391	985	0.0175	0	7.349	0.981
D07	Corticosteroids, dermatological preparations	G04	Urologicals	J05	Antivirals for systemic use	56382	1526	0.0271	0	1.111	1.122
A01	Stomatological preparations	A02	Drugs for acid related disorders	G01	Gynecological antiinfectives and antiseptics	56380	2083	0.0369	0	2.089	0.376
C05	Vasoprotectives	C10	Lipid modifying agents	L01	Antineoplastic agents	56378	562	0.01	0	2.377	1.424
D07	Corticosteroids, dermatological preparations	G04	Urologicals	J02	Antimycotics for systemic use	56373	1775	0.0315	0	6.361	1.345
C03	Diuretics	N04	Anti-parkinson drugs	N07	Other nervous system drugs	56361	130	0.0023	0	3.025	1.549
J01	Antibacterials for systemic use	L03	Immunostimulants	R05	Cough and cold preparations	56356	681	0.0121	0	1.62	0.852
C09	Agents acting on the renin-angiotensin system	D10	Anti-acne preparations	P01	Antiprotozoals	56349	785	0.0139	0	0.93	0.653
A02	Drugs for acid related disorders	D09	Medicated dressings	G03	Sex hormones and modulators of the genital system	56348	1688	0.03	0	0.478	0.55
L04	Immunosuppressants	N07	Other nervous system drugs	R05	Cough and cold preparations	56344	<100	 	0	5.692	1.979
A11	Vitamins	C10	Lipid modifying agents	D06	Antibiotics and chemotherapeutics for dermatological use	56338	995	0.0177	0	1.346	1.013
B01	Antithrombotic agents	D01	Antifungals for dermatological use	H02	Corticosteroids for systemic use	56337	147	0.0026	0	2.188	1.113
C07	Beta blocking agents	D07	Corticosteroids, dermatological preparations	L02	Endocrine therapy	56336	740	0.0131	0	1.359	1.025
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	A11	Vitamins	L04	Immunosuppressants	56297	1988	0.0353	0	9.147	3.561
A10	Drugs used in diabetes	C02	Antihypertensives	M05	Drugs for treatment of bone diseases	56297	160	0.0028	0	1.317	0.9
A11	Vitamins	R05	Cough and cold preparations	S02	Otologicals	56297	<100	 	0	2.511	1.484
A10	Drugs used in diabetes	H03	Thyroid therapy	H04	Pancreatic hormones	56291	9085	0.1614	0	9.126	1.542
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	A11	Vitamins	R06	Antihistamines for systemic use	56282	266	0.0047	0	3.18	1.743
C08	Calcium channel blockers	L04	Immunosuppressants	N04	Anti-parkinson drugs	56277	241	0.0043	0	1.896	1.503
G04	Urologicals	J05	Antivirals for systemic use	M03	Muscle relaxants	56263	685	0.0122	0	1.236	1.027
A06	Drugs for constipation	B01	Antithrombotic agents	R01	Nasal preparations	56254	147	0.0026	0	2.227	1.556
G04	Urologicals	L02	Endocrine therapy	N03	Antiepileptics	56243	804	0.0143	0	1.777	1.461
A02	Drugs for acid related disorders	A05	Bile and liver therapy	N03	Antiepileptics	56228	948	0.0169	0	5.183	1.842
B01	Antithrombotic agents	J05	Antivirals for systemic use	R03	Drugs for obstructive airway diseases	56198	225	0.004	0	0.462	0.488
D01	Antifungals for dermatological use	H03	Thyroid therapy	M05	Drugs for treatment of bone diseases	56188	1814	0.0323	0	1.571	0.794
A03	Drugs for functional gastrointestinal disorders	H03	Thyroid therapy	M02	Topical products for joint and muscular pain	56182	274	0.0049	0	3.421	1.957
G04	Urologicals	J02	Antimycotics for systemic use	R01	Nasal preparations	56167	1079	0.0192	0	2.821	1.724
C03	Diuretics	H05	Calcium homeostasis	L04	Immunosuppressants	56165	192	0.0034	0	6.997	1.73
G04	Urologicals	H02	Corticosteroids for systemic use	N07	Other nervous system drugs	56122	520	0.0093	0	4.303	2.271
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	C02	Antihypertensives	R05	Cough and cold preparations	56111	<100	 	0	2.02	1.773
A06	Drugs for constipation	C10	Lipid modifying agents	L04	Immunosuppressants	56100	725	0.0129	0	1.691	1.247
D11	Other dermatological preparations	R05	Cough and cold preparations	S01	Ophthalmologicals	56094	240	0.0043	0	2.241	1.199
M01	Anti-inflammatory and antirheumatic products	N02	Analgesics	R02	Throat preparations	56083	2161	0.0385	0	4.482	0.636
J01	Antibacterials for systemic use	L03	Immunostimulants	M03	Muscle relaxants	56073	896	0.016	0	4.178	0.916
H05	Calcium homeostasis	M04	Antigout preparations	N02	Analgesics	56034	<100	 	0	9.337	2.078
C07	Beta blocking agents	N01	Anesthetics	N05	Psycholeptics	56033	<100	 	0	3.198	1.578
D01	Antifungals for dermatological use	D07	Corticosteroids, dermatological preparations	J02	Antimycotics for systemic use	56001	7673	0.137	0	26.14	4.814
G04	Urologicals	L03	Immunostimulants	N02	Analgesics	56001	422	0.0075	0	3.018	1.322
G01	Gynecological antiinfectives and antiseptics	S01	Ophthalmologicals	S02	Otologicals	55969	930	0.0166	0	3.008	1.37
C02	Antihypertensives	N05	Psycholeptics	S02	Otologicals	55960	439	0.0078	0	1.733	1.411
B01	Antithrombotic agents	G04	Urologicals	H05	Calcium homeostasis	55954	128	0.0023	0	10.026	2.909
A11	Vitamins	C07	Beta blocking agents	G01	Gynecological antiinfectives and antiseptics	55940	284	0.0051	0	1.578	1.097
A03	Drugs for functional gastrointestinal disorders	D06	Antibiotics and chemotherapeutics for dermatological use	R05	Cough and cold preparations	55937	<100	 	0	3.881	2.157
D01	Antifungals for dermatological use	H03	Thyroid therapy	L01	Antineoplastic agents	55927	745	0.0133	0	2.028	1.571
C01	Cardiac therapy	M01	Anti-inflammatory and antirheumatic products	S02	Otologicals	55924	373	0.0067	0	1.609	1.311
A03	Drugs for functional gastrointestinal disorders	A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	M02	Topical products for joint and muscular pain	55879	666	0.0119	0	13.676	1.943
A02	Drugs for acid related disorders	A12	Mineral supplements	N05	Psycholeptics	55876	461	0.0083	0	2.66	1.706
B01	Antithrombotic agents	C08	Calcium channel blockers	D10	Anti-acne preparations	55872	260	0.0047	0	0.661	0.253
B01	Antithrombotic agents	M03	Muscle relaxants	N07	Other nervous system drugs	55866	180	0.0032	0	5.672	1.524
C10	Lipid modifying agents	D10	Anti-acne preparations	M03	Muscle relaxants	55864	353	0.0063	0	0.335	0.378
A08	Antiobesity preparations, excluding diet products	N03	Antiepileptics	R05	Cough and cold preparations	55860	<100	 	0	3.654	2.196
D07	Corticosteroids, dermatological preparations	M01	Anti-inflammatory and antirheumatic products	M02	Topical products for joint and muscular pain	55845	1076	0.0193	0	2.168	1.527
A02	Drugs for acid related disorders	C01	Cardiac therapy	V03	All other therapeutic products	55843	159	0.0028	0	6.291	3.066
C03	Diuretics	C07	Beta blocking agents	J04	Antimycobacterials	55828	828	0.0148	0	1.173	0.542
C08	Calcium channel blockers	R05	Cough and cold preparations	V03	All other therapeutic products	55828	<100	 	0	2.428	1.715
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	M04	Antigout preparations	R06	Antihistamines for systemic use	55827	188	0.0034	0	1.946	1.067
D09	Medicated dressings	G04	Urologicals	N06	Psychoanaleptics	55821	856	0.0153	0	0.963	0.962
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	D10	Anti-acne preparations	N05	Psycholeptics	55818	339	0.0061	0	0.865	0.83
G03	Sex hormones and modulators of the genital system	N03	Antiepileptics	V03	All other therapeutic products	55778	<100	 	0	1.146	0.468
C10	Lipid modifying agents	H01	Pituitary and hypothalamic hormones and analogues	N06	Psychoanaleptics	55756	875	0.0157	0	0.438	0.513
D10	Anti-acne preparations	L01	Antineoplastic agents	R03	Drugs for obstructive airway diseases	55754	1579	0.0283	0	1.788	0.534
A06	Drugs for constipation	A11	Vitamins	C09	Agents acting on the renin-angiotensin system	55744	744	0.0133	0	3.151	1.301
D09	Medicated dressings	G01	Gynecological antiinfectives and antiseptics	N05	Psycholeptics	55736	773	0.0139	0	6.005	1.386
H05	Calcium homeostasis	M03	Muscle relaxants	N06	Psychoanaleptics	55734	229	0.0041	0	2.613	1.877
C10	Lipid modifying agents	D10	Anti-acne preparations	M05	Drugs for treatment of bone diseases	55703	1798	0.0323	0	0.506	0.331
A02	Drugs for acid related disorders	D06	Antibiotics and chemotherapeutics for dermatological use	N04	Anti-parkinson drugs	55655	430	0.0077	0	2.111	1.423
C02	Antihypertensives	L04	Immunosuppressants	N05	Psycholeptics	55650	168	0.003	0	2.025	1.501
A02	Drugs for acid related disorders	D05	Antipsoriatics	R06	Antihistamines for systemic use	55637	256	0.0046	0	2.4	1.606
D11	Other dermatological preparations	H03	Thyroid therapy	M04	Antigout preparations	55609	471	0.0085	0	3.866	1.318
G01	Gynecological antiinfectives and antiseptics	J02	Antimycotics for systemic use	R01	Nasal preparations	55607	3069	0.0552	0	7.778	1.88
C07	Beta blocking agents	J05	Antivirals for systemic use	M05	Drugs for treatment of bone diseases	55594	1064	0.0191	0	0.679	0.445
A01	Stomatological preparations	C03	Diuretics	S01	Ophthalmologicals	55592	778	0.014	0	0.666	0.64
B01	Antithrombotic agents	N07	Other nervous system drugs	S01	Ophthalmologicals	55550	222	0.004	0	4.646	2.706
M01	Anti-inflammatory and antirheumatic products	M05	Drugs for treatment of bone diseases	S02	Otologicals	55524	1129	0.0203	0	1.823	1.486
A02	Drugs for acid related disorders	A06	Drugs for constipation	M02	Topical products for joint and muscular pain	55512	834	0.015	0	5.946	2.612
D07	Corticosteroids, dermatological preparations	M03	Muscle relaxants	P01	Antiprotozoals	55496	332	0.006	0	2.95	1.758
A02	Drugs for acid related disorders	A12	Mineral supplements	G04	Urologicals	55486	970	0.0175	0	6.331	2.122
G03	Sex hormones and modulators of the genital system	N07	Other nervous system drugs	P01	Antiprotozoals	55481	2121	0.0382	0	2.637	0.92
C07	Beta blocking agents	G04	Urologicals	V03	All other therapeutic products	55448	222	0.004	0	2.613	1.541
B01	Antithrombotic agents	N07	Other nervous system drugs	R01	Nasal preparations	55448	125	0.0023	0	2.246	1.483
A12	Mineral supplements	B01	Antithrombotic agents	C03	Diuretics	55444	298	0.0054	0	4.919	2.484
A03	Drugs for functional gastrointestinal disorders	J01	Antibacterials for systemic use	M04	Antigout preparations	55422	169	0.003	0	1.239	1.14
A08	Antiobesity preparations, excluding diet products	N06	Psychoanaleptics	R03	Drugs for obstructive airway diseases	55419	1451	0.0262	0	0.793	0.827
C07	Beta blocking agents	H05	Calcium homeostasis	R06	Antihistamines for systemic use	55406	176	0.0032	0	3.27	1.28
A10	Drugs used in diabetes	C09	Agents acting on the renin-angiotensin system	N01	Anesthetics	55403	116	0.0021	0	1.478	0.941
G04	Urologicals	J05	Antivirals for systemic use	S02	Otologicals	55402	3469	0.0626	0	1.899	0.924
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	D10	Anti-acne preparations	G03	Sex hormones and modulators of the genital system	55396	1976	0.0357	0	0.466	0.665
D11	Other dermatological preparations	H03	Thyroid therapy	R05	Cough and cold preparations	55381	<100	 	0	0.799	0.943
C07	Beta blocking agents	L03	Immunostimulants	M03	Muscle relaxants	55379	608	0.011	0	5.051	1.108
J01	Antibacterials for systemic use	N01	Anesthetics	N05	Psycholeptics	55368	<100	 	0	2.582	1.274
A01	Stomatological preparations	A10	Drugs used in diabetes	R03	Drugs for obstructive airway diseases	55355	685	0.0124	0	0.311	0.304
A06	Drugs for constipation	N06	Psychoanaleptics	N07	Other nervous system drugs	55355	656	0.0119	0	5.09	2.167
A12	Mineral supplements	C08	Calcium channel blockers	M04	Antigout preparations	55345	863	0.0156	0	25.51	2.245
A03	Drugs for functional gastrointestinal disorders	G01	Gynecological antiinfectives and antiseptics	R06	Antihistamines for systemic use	55343	325	0.0059	0	3.939	1.548
G01	Gynecological antiinfectives and antiseptics	L01	Antineoplastic agents	M01	Anti-inflammatory and antirheumatic products	55342	2673	0.0483	0	2.566	0.517
J02	Antimycotics for systemic use	M01	Anti-inflammatory and antirheumatic products	N05	Psycholeptics	55342	1014	0.0183	0	1.642	1.327
C05	Vasoprotectives	C09	Agents acting on the renin-angiotensin system	M05	Drugs for treatment of bone diseases	55333	425	0.0077	0	2.054	1.531
M02	Topical products for joint and muscular pain	N03	Antiepileptics	S02	Otologicals	55301	383	0.0069	0	2.852	1.484
A12	Mineral supplements	C03	Diuretics	N03	Antiepileptics	55299	597	0.0108	0	2.977	1.503
A03	Drugs for functional gastrointestinal disorders	D06	Antibiotics and chemotherapeutics for dermatological use	N03	Antiepileptics	55295	204	0.0037	0	4.29	2.031
C05	Vasoprotectives	C09	Agents acting on the renin-angiotensin system	G01	Gynecological antiinfectives and antiseptics	55293	419	0.0076	0	2.305	0.94
D09	Medicated dressings	G04	Urologicals	R05	Cough and cold preparations	55287	<100	 	0	3.242	0.834
H02	Corticosteroids for systemic use	J05	Antivirals for systemic use	P01	Antiprotozoals	55262	1371	0.0248	0	4.22	1.363
A03	Drugs for functional gastrointestinal disorders	A04	Antiemetics and antinauseants	B01	Antithrombotic agents	55261	279	0.005	0	12.85	1.486
C02	Antihypertensives	C03	Diuretics	D06	Antibiotics and chemotherapeutics for dermatological use	55248	261	0.0047	0	1.94	0.905
A03	Drugs for functional gastrointestinal disorders	D10	Anti-acne preparations	N05	Psycholeptics	55244	794	0.0144	0	1.912	0.791
A04	Antiemetics and antinauseants	C08	Calcium channel blockers	M01	Anti-inflammatory and antirheumatic products	55232	260	0.0047	0	1.25	0.812
C04	Peripheral vasodilators	C09	Agents acting on the renin-angiotensin system	N05	Psycholeptics	55225	187	0.0034	0	2.924	1.421
A04	Antiemetics and antinauseants	M04	Antigout preparations	N02	Analgesics	55224	182	0.0033	0	2.728	0.978
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	C01	Cardiac therapy	M05	Drugs for treatment of bone diseases	55223	<100	 	0	3.261	1.981
C10	Lipid modifying agents	D05	Antipsoriatics	M05	Drugs for treatment of bone diseases	55213	1000	0.0181	0	2.702	1.769
H03	Thyroid therapy	M02	Topical products for joint and muscular pain	S02	Otologicals	55207	898	0.0163	0	1.964	1.546
A02	Drugs for acid related disorders	A10	Drugs used in diabetes	D08	Antiseptics and disinfectants	55205	818	0.0148	0	7.691	1.852
L01	Antineoplastic agents	M02	Topical products for joint and muscular pain	M03	Muscle relaxants	55196	959	0.0174	0	8.298	1.802
G01	Gynecological antiinfectives and antiseptics	G04	Urologicals	L01	Antineoplastic agents	55154	810	0.0147	0	2.761	0.556
D11	Other dermatological preparations	N03	Antiepileptics	S01	Ophthalmologicals	55152	310	0.0056	0	2.463	1.512
A10	Drugs used in diabetes	A11	Vitamins	G01	Gynecological antiinfectives and antiseptics	55145	611	0.0111	0	1.376	1.181
