drug_concept_name	rxcui	atc	atc_class_name	drug_cost_per_day	UMLS_CUI	DrugBankID
insulin, glulisine, human	400008	A10AD01	Drugs used in diabetes	NA	C1313386	DB01309
insulin, isophane	1605101	A10	Drugs used in diabetes	NA	NA	NA
insulin, protamine lispro, human	314684	A10AD01	Drugs used in diabetes	NA	C0982221	NA
interferon alfa-2b	5880	L03AB05	Immunostimulants	108.02	C0021735	DB00105
interferon alfa-n1	202912	L03AB06	Immunostimulants	NA	C0699817	DB00011
interferon alfacon-1	59744	L03AB09	Immunostimulants	88.52	C0164613	DB00069
interferon beta-1a	75917	L03AB07	Immunostimulants	103.92	C0254119	DB00060
interferon beta-1b	72257	L03AB08	Immunostimulants	100.18	C0244713	DB00068
interferon gamma-1b	5882	L03AB03	Immunostimulants	293.73	C0021741	DB00033
iodixanol	27729	V08AB09	Contrast media	52.02	C0063757	DB01249
iodoquinol	3435	G01AC01	Gynecological antiinfectives and antiseptics	3.25	C0012341	DB09115
iohexol	5956	V08AB02	Contrast media	1.31	C0022005	DB01362
ipratropium	7213	R03BB01	Drugs for obstructive airway diseases	4.28	C0027235	NA
irbesartan	83818	C09CA04	Agents acting on the renin-angiotensin system	2.18	C0288171	DB01029
irinotecan	51499	L01XX19	Antineoplastic agents	113.94	C0123931	DB00762
isocarboxazid	6011	N06AF01	Psychoanaleptics	9.49	C0022154	DB01247
isoflurane	6026	N01AB06	Anesthetics	NA	C0022180	DB00753
isometheptene	27946	A03AX10	Drugs for functional gastrointestinal disorders	3.81	C0064007	DB06706
isoniazid	6038	J04AC01	Antimycobacterials	0.22	C0022209	DB00951
isopropamide	89784	A03AB09	Drugs for functional gastrointestinal disorders	0.46	C0301373	DB01625
isopropyl alcohol	797541	D08AX05	Antiseptics and disinfectants	0.39	C0022237	DB02325
isosorbide	6057	C01DA08	Cardiac therapy	0.37	C0022251	NA
isosorbide dinitrate	6058	C05AE02	Vasoprotectives	1.16	C0022252	DB00883
isothipendyl	28012	D04AA22	Antipruritics, including antihistamines, anesthetics, etc.	NA	C0064088	DB08802
isotretinoin	6064	D10AD04	Anti-acne preparations	16.45	C0022265	DB00982
isradipine	33910	C08CA03	Calcium channel blockers	2.9	C0071304	DB00270
itraconazole	28031	J02AC02	Antimycotics for systemic use	16.84	C0064113	DB01167
ivacaftor	1243041	R07AX02	Other respiratory system products	828.66	C3264621	DB08820
ivermectin	6069	P02CF01	Anthelmintics	27.68	C0022322	DB00602
ixabepilone	337523	L01DC04	Antineoplastic agents	207.75	C1135132	DB04845
josamycin	6084	J01FA07	Antibacterials for systemic use	NA	C0022419	DB01321
kanamycin	6099	S01AA24	Ophthalmologicals	18.48	C0022487	DB01172
kaolin	6102	A07BC02	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	0.9	C0022499	DB01575
ketamine	6130	N01AX03	Anesthetics	60.43	C0022614	DB01221
ketazolam	28181	N05BA10	Psycholeptics	NA	C0064304	DB01587
ketoconazole	6135	J02AB02	Antimycotics for systemic use	1.35	C0022625	DB01026
ketoprofen	6142	M02AA10	Topical products for joint and muscular pain	4.74	C0022635	DB01009
ketorolac	35827	M01AB15	Anti-inflammatory and antirheumatic products	2.41	C0073631	DB00465
ketotifen	6146	S01GX08	Ophthalmologicals	2.38	C0022642	DB00920
labetalol	6185	C07AG01	Beta blocking agents	0.73	C0022860	DB00598
lacosamide	623400	N03AX18	Antiepileptics	18.08	C0893761	DB06218
lactulose	6218	A06AD11	Drugs for constipation	1.12	C0022957	DB00581
lamivudine	68244	J05AF05	Antivirals for systemic use	25.12	C0209738	DB00709
lamotrigine	28439	N03AX09	Antiepileptics	3.84	C0064636	DB00555
lanreotide	68092	H01CB03	Pituitary and hypothalamic hormones and analogues	138.55	C0209211	DB06791
lansoprazole	17128	A02BC03	Drugs for acid related disorders	4.6	C0050940	DB00448
lanthanum carbonate	234416	V03AE03	All other therapeutic products	22.71	C0768119	DB06792
lapatinib	480167	L01XE07	Antineoplastic agents	113.37	C1506770	DB01259
laronidase	392509	A16AB05	Other alimentary tract and metabolism products	929.32	C1302054	DB00090
latanoprost	43611	S01EE01	Ophthalmologicals	1.6	C0090306	DB00654
ledipasvir	1591922	J05AX65	Antivirals for systemic use	1119.4	C3851350	DB09027
leflunomide	27169	L04AA13	Immunosuppressants	2.41	C0063041	DB01097
lenalidomide	342369	L04AX04	Immunosuppressants	309.17	C1144149	DB00480
lepirudin	237057	B01AE02	Antithrombotic agents	458.84	C0772394	DB00001
lercanidipine	135056	C08CA13	Calcium channel blockers	NA	C0526399	DB00528
letrozole	72965	L02BG04	Endocrine therapy	8.24	C0246421	DB01006
leucovorin	6313	V03AF03	All other therapeutic products	3.35	C0023413	DB00650
leuprolide	42375	L02AE02	Endocrine therapy	41.88	C0085272	DB00007
levalbuterol	237159	R03AC02	Drugs for obstructive airway diseases	8.03	C0772501	DB01001
levamisole	6371	P02CE01	Anthelmintics	9.47	C0023556	NA
levetiracetam	114477	N03AX14	Antiepileptics	4.63	C0377265	DB01202
levobunolol	1813	S01ED03	Ophthalmologicals	0.38	C0006388	DB01210
levobupivacaine	259453	N01BB10	Anesthetics	NA	C0873118	DB01002
levocabastine	28627	R01AC02	Nasal preparations	2.12	C0064870	DB01106
levocarnitine	42955	A16AA01	Other alimentary tract and metabolism products	2.65	C0087163	DB00583
levocetirizine	356887	R06AE09	Antihistamines for systemic use	1.59	C1174893	DB06282
levodopa	6375	N04BA01	Anti-parkinson drugs	2.05	C0023570	DB01235
levofloxacin	82122	J01MA12	Antibacterials for systemic use	9.77	C0282386	DB01137
levomilnacipran	1433212	N06AX17	Psychoanaleptics	7.51	C3541367	DB08918
levonorgestrel	6373	G03AD01	Sex hormones and modulators of the genital system	1.96	C0023566	DB00367
levosimendan	73107	C01CX08	Cardiac therapy	NA	C0246904	DB00922
lidocaine	6387	S01HA07	Ophthalmologicals	6.1	C0023660	DB00281
linaclotide	1307404	A06AX04	Drugs for constipation	8.02	C2000261	DB08890
linagliptin	1100699	A10BH05	Drugs used in diabetes	7.93	C2746078	DB08882
lincomycin	6398	J01FF02	Antibacterials for systemic use	11.49	C0023726	DB01627
lindane	1388	P03AB02	Ectoparasiticides, including scabicides, insecticides and repellents	45.06	C0005038	DB00431
linezolid	190376	J01XX08	Antibacterials for systemic use	166.07	C0663241	DB00601
liraglutide	475968	A10BX07	Drugs used in diabetes	13.57	C1456408	DB06655
lisdexamfetamine	700810	N06BA12	Psychoanaleptics	5.37	C1873633	DB01255
lisinopril	29046	C09AA03	Agents acting on the renin-angiotensin system	0.22	C0065374	DB00722
lisuride	6446	N02CA07	Analgesics	NA	C0023863	DB00589
lithium	6448	N05AN01	Psycholeptics	1.42	C0023870	DB01356
lithium carbonate	42351	N05AN01	Psycholeptics	0.59	C0085217	NA
lithium citrate	52105	N05AN01	Psycholeptics	1.39	C0125997	NA
lodoxamide	52151	S01GX05	Ophthalmologicals	4.19	C0126120	DB06794
lofexidine	28863	N07BC04	Other nervous system drugs	NA	C0065152	DB04948
lomefloxacin	28872	S01AE04	Ophthalmologicals	NA	C0065162	DB00978
lomustine	6466	L01AD02	Antineoplastic agents	41.03	C0023972	DB01206
loperamide	6468	A07DA03	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	1.05	C0023992	DB00836
lopinavir	195088	J05AR10	Antivirals for systemic use	23.73	C0674432	DB01601
loracarbef	28981	J01DC08	Antibacterials for systemic use	9.25	C0065295	NA
loratadine	28889	R06AX13	Antihistamines for systemic use	0.31	C0065180	DB00455
lorazepam	6470	N05BA06	Psycholeptics	0.57	C0024002	DB00186
lorcaserin	1300701	A08AA11	Antiobesity preparations, excluding diet products	6.55	C2350948	DB04871
lornoxicam	20890	M01AC05	Anti-inflammatory and antirheumatic products	NA	C0055477	DB06725
losartan	52175	C09CA01	Agents acting on the renin-angiotensin system	1	C0126174	DB00678
loteprednol	237027	S01BA14	Ophthalmologicals	NA	C0772364	DB00873
loteprednol etabonate	52177	S01BA14	Ophthalmologicals	6.31	C0126177	NA
lovastatin	6472	C10AA02	Lipid modifying agents	0.73	C0024027	DB00227
loxapine	6475	N05AH01	Psycholeptics	1.64	C0024056	DB00408
lubiprostone	623033	A06AX03	Drugs for constipation	7.01	C1684405	DB01046
luliconazole	1482680	D01AC18	Antifungals for dermatological use	16.44	C1956280	DB08933
lumefantrine	847728	P01BF01	Antiprotozoals	19.06	C0531104	DB06708
lurasidone	1040028	N05AE05	Psycholeptics	22.77	C2003424	DB08815
luteinizing hormone	6383	G03GA05	Sex hormones and modulators of the genital system	188.7	C0023607	NA
lutropin alfa	388084	G03GA07	Sex hormones and modulators of the genital system	43.62	C1271607	DB00044
lymecycline	6513	J01AA04	Antibacterials for systemic use	NA	C0024200	DB00256
malathion	6606	P03AX03	Ectoparasiticides, including scabicides, insecticides and repellents	51.04	C0024547	DB00772
mannitol	6628	R05CB16	Cough and cold preparations	5.32	C0024730	DB00742
maprotiline	6646	N06AA21	Psychoanaleptics	1.32	C0024778	DB00934
maraviroc	620216	J05AX09	Antivirals for systemic use	35.53	C1667052	DB04835
masoprocol	227239	L01XX10	Antineoplastic agents	NA	C0733397	DB00179
mazindol	6664	A08AA05	Antiobesity preparations, excluding diet products	NA	C0024977	DB00579
mebendazole	6672	P02CA01	Anthelmintics	3.31	C0025023	DB00643
mecamylamine	6673	C02BB01	Antihypertensives	13.23	C0025029	DB00657
mecasermin	274403	H01AC03	Pituitary and hypothalamic hormones and analogues	168.1	C0904505	DB01277
meclizine	6676	R06AE05	Antihistamines for systemic use	0.79	C0025039	DB00737
meclofenamate	588003	M01AG04	Anti-inflammatory and antirheumatic products	4.81	C1289957	DB00939
meclofenamic acid	6678	M02AA18	Topical products for joint and muscular pain	NA	C0025042	DB00939
medroxyprogesterone	6691	G03DA02	Sex hormones and modulators of the genital system	1.46	C0025147	NA
medrysone	29439	S01BA08	Ophthalmologicals	1.59	C0065865	DB00253
mefenamate	257844	M01AG01	Anti-inflammatory and antirheumatic products	NA	C0806919	NA
mefloquine	6694	P01BC02	Antiprotozoals	1.34	C0025153	DB00358
megestrol	6703	G03AC05	Sex hormones and modulators of the genital system	3.72	C0025175	NA
melatonin	6711	N05CH01	Psycholeptics	2.2	C0025219	DB01065
meloxicam	41493	M01AC06	Anti-inflammatory and antirheumatic products	0.36	C0083381	DB00814
melphalan	6718	L01AA03	Antineoplastic agents	23.63	C0025241	DB01042
memantine	6719	N06DX01	Psychoanaleptics	6.21	C0025242	DB01043
menthol	6750	R05	Cough and cold preparations	38.9	C0025368	DB00825
mepenzolate	107770	A03AB12	Drugs for functional gastrointestinal disorders	4.01	C0360172	DB04843
meperidine	6754	N02AB02	Analgesics	2.44	C0025376	DB00454
mephentermine	6756	C01CA11	Cardiac therapy	NA	C0025380	DB01365
mephenytoin	6757	N03AB04	Antiepileptics	NA	C0025381	NA
mepivacaine	6759	N01BB03	Anesthetics	3.74	C0025384	DB00961
meprobamate	6760	N05BC01	Psycholeptics	3.64	C0025386	DB00371
mequitazine	29528	R06AD07	Antihistamines for systemic use	NA	C0065972	DB01071
mercaptopurine	103	L01BB02	Antineoplastic agents	2.86	C0000618	DB01033
meropenem	29561	J01DH02	Antibacterials for systemic use	103.81	C0066005	DB00760
mesalamine	52582	A07EC02	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	13.38	C0127615	DB00244
mesna	44	V03AF01	All other therapeutic products	226.71	C0000294	DB09110
mesoridazine	6779	N05AC03	Psycholeptics	0.5	C0025497	DB00933
mestranol	6782	NA	NA	0.83	C0025506	DB01357
metaproterenol	7688	R03AB03	Drugs for obstructive airway diseases	1.67	C0029193	DB00816
metaraminol	6805	C01CA09	Cardiac therapy	NA	C0025575	DB00610
metaxalone	59078	M03XXXX	Muscle relaxants	8.85	C0163055	DB00660
metformin	6809	A10BA02	Drugs used in diabetes	1.15	C0025598	DB00331
methadone	6813	N07BC02	Other nervous system drugs	0.64	C0025605	DB00333
methamphetamine	6816	N06BA03	Psychoanaleptics	17.95	C0025611	DB01577
methantheline	6821	A03AB07	Drugs for functional gastrointestinal disorders	NA	C0025624	DB00940
methapyrilene	6822	R06AC05	Antihistamines for systemic use	NA	C0025625	NA
methaqualone	6823	N05CM01	Psycholeptics	NA	C0025627	NA
metharbital	6825	N03AA30	Antiepileptics	NA	C0025629	NA
methazolamide	6826	S01EC05	Ophthalmologicals	2.18	C0025631	DB00703
methdilazine	29648	R06AD04	Antihistamines for systemic use	NA	C0066101	DB00902
methenamine	6832	J01XX05	Antibacterials for systemic use	2.27	C0025638	DB06799
methimazole	6835	H03BB02	Thyroid therapy	0.56	C0025644	DB00763
methocarbamol	6845	M03BA03	Muscle relaxants	0.64	C0025659	DB00423
methohexital	6847	N01AF01	Anesthetics	NA	C0025668	DB00474
methotrexate	6851	L04AX03	Immunosuppressants	0.88	C0025677	DB00563
methoxamine	6853	C01CA10	Cardiac therapy	NA	C0025681	DB00723
methoxsalen	6854	D05AD02	Antipsoriatics	66.76	C0025684	DB00553
methoxyflurane	6857	N02BG09	Analgesics	NA	C0025688	DB01028
methscopolamine	89785	A03BB03	Drugs for functional gastrointestinal disorders	3.03	C0301374	NA
methsuximide	47858	N03AD03	Antiepileptics	3.81	C0109002	DB05246
methyclothiazide	6860	C03AA08	Diuretics	0.65	C0025696	DB00232
methyldopa	6876	C02AB01	Antihypertensives	0.4	C0025741	DB00968
methylergonovine	6883	G02AB01	Other gynecologicals	10.8	C0025760	DB00353
methylnaltrexone	29899	A06AH01	Drugs for constipation	32.09	C0066411	DB06800
methylphenidate	6901	N06BA04	Psychoanaleptics	4.09	C0025810	DB00422
methylprednisolone	6902	H02AB04	Corticosteroids for systemic use	1.99	C0025815	DB00959
methyltestosterone	6904	G03EK01	Sex hormones and modulators of the genital system	1.46	C0025826	DB06710
methyprylon	6910	N05CE02	Psycholeptics	NA	C0025840	DB01107
methysergide	6911	N02CA04	Analgesics	7.36	C0025842	DB00247
metipranolol	10824	S01ED04	Ophthalmologicals	0.69	C0041030	DB01214
metoclopramide	6915	A03FA01	Drugs for functional gastrointestinal disorders	0.42	C0025853	DB01233
metolazone	6916	C03BA08	Diuretics	0.77	C0025854	DB00524
metoprolol	6918	C07AB02	Beta blocking agents	0.64	C0025859	DB00264
metrizamide	6920	V08AB01	Contrast media	NA	C0025869	DB01578
metronidazole	6922	P01AB01	Antiprotozoals	2.77	C0025872	DB00916
metyrapone	6923	V04CD01	Diagnostic agents	116.51	C0025876	DB01011
mexiletine	6926	C01BB02	Cardiac therapy	1.25	C0025887	DB00379
mezlocillin	6927	J01CA10	Antibacterials for systemic use	NA	C0025893	DB00948
mianserin	6929	N06AX03	Psychoanaleptics	NA	C0025912	DB06148
mibefradil	83213	C08CX01	Calcium channel blockers	NA	C0286185	NA
micafungin	325887	J02AX05	Antimycotics for systemic use	173.76	C1120386	DB01141
miconazole	6932	A01AB09	Stomatological preparations	14.37	C0025942	DB01110
midazolam	6960	N05CD08	Psycholeptics	3.94	C0026056	DB00683
midodrine	6963	C01CA17	Cardiac therapy	3.41	C0026078	DB00211
mifepristone	6964	G03XB01	Sex hormones and modulators of the genital system	447.17	C0026088	DB00834
miglitol	30009	A10BF02	Drugs used in diabetes	2.52	C0066535	DB00491
miglustat	402316	A16AX06	Other alimentary tract and metabolism products	566.49	C1321596	DB00419
milnacipran	588250	N06AX17	Psychoanaleptics	4.32	C1533126	DB04896
milrinone	52769	C01CE02	Cardiac therapy	229.79	C0128513	DB00235
minaprine	30031	N06AX07	Psychoanaleptics	NA	C0066561	DB00805
minocycline	6980	A01AB23	Stomatological preparations	5.41	C0026187	DB01017
minoxidil	6984	C02DC01	Antihypertensives	0.74	C0026196	DB00350
mirabegron	1300786	G04BD12	Urologicals	7.67	C2983812	DB08893
mirtazapine	15996	N06AX11	Psychoanaleptics	0.58	C0049506	DB00370
misoprostol	42331	A02BB01	Drugs for acid related disorders	3.63	C0085174	DB00929
mitomycin	632	L01DC03	Antineoplastic agents	69.38	C0002475	DB00305
mitotane	7004	L01XX23	Antineoplastic agents	29.32	C0026256	DB00648
mitoxantrone	7005	L01DB07	Antineoplastic agents	79.57	C0026259	DB01204
moclobemide	30121	N06AG02	Psychoanaleptics	NA	C0066673	DB01171
modafinil	30125	N06BA07	Psychoanaleptics	19.22	C0066677	DB00745
moexipril	30131	C09AA13	Agents acting on the renin-angiotensin system	0.93	C0066685	DB00691
molindone	7019	N05AE02	Psycholeptics	5.99	C0026388	DB01618
mometasone	108118	D07AC13	Corticosteroids, dermatological preparations	3.73	C0360564	DB00764
monobenzone	17145	D11AX13	Other dermatological preparations	8.91	C0050962	DB00600
montelukast	88249	R03DC03	Drugs for obstructive airway diseases	3	C0298130	DB00471
morphine	7052	N02AA01	Analgesics	4.2	C0026549	DB00295
moxifloxacin	139462	J01MA14	Antibacterials for systemic use	10.22	C0536495	DB00218
mupirocin	42372	R01AX06	Nasal preparations	2.72	C0085259	DB00410
mycophenolate mofetil	68149	L04AA06	Immunosuppressants	11.36	C0209368	DB00688
mycophenolic acid	7145	L04AA06	Immunosuppressants	NA	C0026933	DB01024
nabilone	31447	A04AD11	Antiemetics and antinauseants	45.34	C0068333	DB00486
nabumetone	31448	M01AX01	Anti-inflammatory and antirheumatic products	1.13	C0068334	DB00461
nadolol	7226	C07AA12	Beta blocking agents	0.84	C0027302	DB01203
nadroparin	67031	B01AB06	Antithrombotic agents	NA	C0206232	DB08813
nafarelin	28656	H01CA02	Pituitary and hypothalamic hormones and analogues	56.58	C0064906	DB00666
naftifine	31476	D01AE22	Antifungals for dermatological use	9.74	C0068367	DB00735
nalbuphine	7238	N02AF02	Analgesics	6.88	C0027348	DB00844
naloxone	7242	V03AB15	All other therapeutic products	12.27	C0027358	DB01183
naltrexone	7243	N07BB04	Other nervous system drugs	6.36	C0027360	DB00704
naphazoline	7247	R01AA08	Nasal preparations	0.27	C0027373	DB06711
naproxen	7258	M01AE02	Anti-inflammatory and antirheumatic products	1.43	C0027396	DB00788
naratriptan	141366	N02CC02	Analgesics	11.9	C0540623	DB00952
natalizumab	354770	L04AA23	Immunosuppressants	122.53	C1172734	DB00108
natamycin	7268	S01AA10	Ophthalmologicals	13.86	C0027444	DB00826
nateglinide	274332	A10BX03	Drugs used in diabetes	3.52	C0903898	DB00731
nebivolol	31555	C07AB12	Beta blocking agents	2.13	C0068475	DB04861
nedocromil	31563	R03BC03	Drugs for obstructive airway diseases	3.24	C0068483	DB00716
nefazodone	31565	N06AX06	Psychoanaleptics	1.4	C0068485	DB01149
nelarabine	274771	L01BB07	Antineoplastic agents	NA	C0907349	DB01280
nelfinavir	134527	J05AE04	Antivirals for systemic use	22.31	C0525005	DB00220
neomycin	7299	D06AX04	Antibiotics and chemotherapeutics for dermatological use	2.06	C0027603	DB00994
neostigmine	7315	N07AA01	Other nervous system drugs	3.75	C0027679	DB01400
nepafenac	298665	S01BC10	Ophthalmologicals	7.84	C0961209	DB06802
nesiritide	19666	C01DX19	Cardiac therapy	NA	C0054015	DB04899
netilmicin	7337	S01AA23	Ophthalmologicals	NA	C0027780	DB00955
nevirapine	53654	J05AG01	Antivirals for systemic use	14.26	C0132326	DB00238
nialamide	7394	N06AF02	Psychoanaleptics	NA	C0027999	NA
nicardipine	7396	C08CA04	Calcium channel blockers	1.38	C0028005	DB00622
nicergoline	7398	C04AE02	Peripheral vasodilators	NA	C0028008	DB00699
niclosamide	7402	P02DA01	Anthelmintics	11.05	C0028017	DB06803
nicotine	7407	N07BA01	Other nervous system drugs	5.14	C0028040	DB00184
nifedipine	7417	C08CA05	Calcium channel blockers	1.29	C0028066	DB01115
niflumic acid	7418	M02AA17	Topical products for joint and muscular pain	NA	C0028067	DB04552
nilotinib	662281	L01XE08	Antineoplastic agents	258.97	C1721377	DB04868
nilutamide	31805	L02BB02	Endocrine therapy	28.44	C0068771	DB00665
nilvadipine	53692	C08CA10	Calcium channel blockers	NA	C0132512	DB06712
nimesulide	53694	M01AX17	Anti-inflammatory and antirheumatic products	NA	C0132515	DB04743
nimodipine	7426	C08CA06	Calcium channel blockers	42.69	C0028094	DB00393
nisoldipine	7435	C08CA07	Calcium channel blockers	3.76	C0028116	DB00401
nitazoxanide	31819	P01AX11	Antiprotozoals	34.31	C0068788	DB00507
nitisinone	61805	A16AX04	Other alimentary tract and metabolism products	631.24	C0173083	DB00348
nitrazepam	7440	N05CD02	Psycholeptics	NA	C0028126	DB01595
nitrendipine	7441	C08CA08	Calcium channel blockers	NA	C0028127	DB01054
nitric oxide	7442	R07AX01	Other respiratory system products	NA	C0028128	DB00435
nitrofurantoin	7454	J01XE01	Antibacterials for systemic use	2.84	C0028156	DB00698
nitroglycerin	4917	C01DA02	Cardiac therapy	1.32	C0017887	DB00727
nitroprusside	7476	C02DD01	Antihypertensives	4.21	C0028193	DB00325
nitroxoline	31901	J01XX07	Antibacterials for systemic use	NA	C0068881	DB01422
nizatidine	42319	A02BA04	Drugs for acid related disorders	1.74	C0085154	DB00585
nomifensine	7500	N06AX04	Psychoanaleptics	NA	C0028277	NA
norelgestromin	326374	G03AA13	Sex hormones and modulators of the genital system	2.66	C1120952	DB06713
norepinephrine	7512	C01CA03	Cardiac therapy	NA	C0028351	DB00368
norethindrone	7514	G03AC01	Sex hormones and modulators of the genital system	1.38	C0028356	DB00717
norfloxacin	7517	S01AE02	Ophthalmologicals	5.11	C0028365	DB01059
norgestimate	31994	G03AA11	Sex hormones and modulators of the genital system	0.99	C0068992	DB00957
norgestrel	7518	G03AA06	Sex hormones and modulators of the genital system	0.82	C0028368	DB09389
nortriptyline	7531	N06AA10	Psychoanaleptics	0.38	C0028420	DB00540
nystatin	7597	A07AA02	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	2.38	C0028741	DB00646
octreotide	7617	H01CB02	Pituitary and hypothalamic hormones and analogues	113.53	C0028833	DB00104
ofloxacin	7623	S02AA16	Otologicals	2.71	C0028902	DB01165
olanzapine	61381	N05AH03	Psycholeptics	10.85	C0171023	DB00334
olmesartan	321064	C09CA08	Agents acting on the renin-angiotensin system	2.94	C1098320	DB00275
olopatadine	135391	S01GX09	Ophthalmologicals	4.63	C0527189	DB00768
olsalazine	32385	A07EC03	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	12.37	C0069454	DB01250
omalizumab	302379	R03DX05	Drugs for obstructive airway diseases	77.5	C0966225	DB00043
omega-3 acid ethyl esters (usp)	484348	C10AX06	Lipid modifying agents	NA	C1532673	DB09539
omeprazole	7646	A02BC01	Drugs for acid related disorders	0.92	C0028978	DB00338
ondansetron	26225	A04AA01	Antiemetics and antinauseants	8.62	C0061851	DB00904
opium	7676	A07DA02	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	22.77	C0029112	NA
oprelvekin	139994	L03AC02	Immunostimulants	165.22	C0537670	DB00038
orlistat	37925	A08AB01	Antiobesity preparations, excluding diet products	8.49	C0076275	DB01083
orphenadrine	7715	M03BC01	Muscle relaxants	1.72	C0029309	DB01173
oseltamivir	260101	J05AH02	Antivirals for systemic use	17.13	C0874161	DB00198
ospemifene	1370971	G03XC05	Sex hormones and modulators of the genital system	5.19	C1313616	DB04938
oxacillin	7773	J01CF04	Antibacterials for systemic use	122.93	C0029983	DB00713
oxaliplatin	32592	L01XA03	Antineoplastic agents	277.24	C0069717	DB00526
oxamniquine	7778	P02BA02	Anthelmintics	NA	C0029994	DB01096
oxandrolone	7779	A14AA08	Anabolic agents for systemic use	18.09	C0029995	DB00621
oxaprozin	32613	M01AE12	Anti-inflammatory and antirheumatic products	1.33	C0069739	DB00991
oxazepam	7781	N05BA04	Psycholeptics	1.24	C0029997	DB00842
oxcarbazepine	32624	N03AF02	Antiepileptics	4.07	C0069751	DB00776
oxeladin	32626	R05DB09	Cough and cold preparations	NA	C0069753	NA
oxiconazole	32638	G01AF17	Gynecological antiinfectives and antiseptics	7.65	C0069765	DB00239
oxprenolol	7801	C07AA02	Beta blocking agents	NA	C0030040	DB01580
oxybutynin	32675	G04BD04	Urologicals	1.54	C0069805	DB01062
oxycodone	7804	N02AA05	Analgesics	3.99	C0030049	DB00497
oxymetazoline	7812	S01GA04	Ophthalmologicals	0.45	C0030071	DB00935
oxymorphone	7814	N02A	Analgesics	16.71	C0030073	DB01192
oxyphenbutazone	7816	S01BC02	Ophthalmologicals	NA	C0030078	NA
oxyphencyclimine	32698	A03AA01	Drugs for functional gastrointestinal disorders	7.86	C0069833	DB00383
oxyphenonium	7818	A03AB03	Drugs for functional gastrointestinal disorders	NA	C0030082	DB00219
oxyquinoline	110	A01AB07	Stomatological preparations	2.06	C0000665	NA
oxytetracycline	7821	D06AA03	Antibiotics and chemotherapeutics for dermatological use	4.67	C0030092	DB00595
oxytocin	7824	H01BB02	Pituitary and hypothalamic hormones and analogues	200.9	C0030095	DB00107
paclitaxel	56946	L01CD01	Antineoplastic agents	91	C0144576	DB01229
palifermin	196319	V03AF08	All other therapeutic products	1230.7	C0677829	DB00039
paliperidone	679314	N05AX13	Psycholeptics	24.8	C0753678	DB01267
palivizumab	194279	J06BB16	Immune sera and immunoglobulins	100.96	C0672596	DB00110
palonosetron	70561	A04AA05	Antiemetics and antinauseants	123.65	C0220578	DB00377
pancuronium	7883	M03AC01	Muscle relaxants	2.33	C0030310	DB01337
panitumumab	263034	L01XC08	Antineoplastic agents	872.43	C0879427	DB01269
pantoprazole	40790	A02BC02	Drugs for acid related disorders	1.88	C0081876	DB00213
papaverine	7895	G04BE02	Urologicals	1.81	C0030350	DB01113
paramethadione	32894	N03AC01	Antiepileptics	NA	C0070072	DB00617
paramethasone	7910	H02AB05	Corticosteroids for systemic use	NA	C0030454	DB01384
parecoxib	279950	M01AH04	Anti-inflammatory and antirheumatic products	NA	C0915142	DB08439
paregoric	32926	N02AA01	Analgesics	6.11	C0070108	NA
pargyline	7930	C02KC01	Antihypertensives	NA	C0030557	DB01626
paricalcitol	73710	H05BX02	Calcium homeostasis	8.48	C0249582	DB00910
paromomycin	7934	A07AA06	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	16.04	C0030576	DB01421
paroxetine	32937	N06AB05	Psychoanaleptics	0.94	C0070122	DB00715
pazopanib	714438	L01XE11	Antineoplastic agents	203.49	C1831796	DB06589
pefloxacin	7960	J01MA03	Antibacterials for systemic use	NA	C0030771	DB00487
pegaptanib	498509	S01LA03	Ophthalmologicals	41.61	C1531015	DB04895
pegaspargase	34132	L01XX24	Antineoplastic agents	1026.34	C0071568	DB00059
pegfilgrastim	338036	L03AA13	Immunostimulants	626.26	C1136535	DB00019
peginterferon alfa-2a	120608	L03AB11	Immunostimulants	78.58	C0391001	DB00008
peginterferon alfa-2b	253453	L03AB10	Immunostimulants	76.31	C0796545	DB00022
pegvisomant	278739	H01AX01	Pituitary and hypothalamic hormones and analogues	176.18	C0913469	DB00082
pemetrexed	68446	L01BA04	Antineoplastic agents	320.11	C0210657	DB00642
pemoline	7966	N06BA05	Psychoanaleptics	0.85	C0030800	NA
penbutolol	7973	C07AA23	Beta blocking agents	2.49	C0030812	DB01359
penciclovir	59839	D06BB06	Antibiotics and chemotherapeutics for dermatological use	13.71	C0164815	DB00299
penicillamine	7975	M01CC01	Anti-inflammatory and antirheumatic products	23.57	C0030817	DB00859
penicillin g	7980	J01CE01	Antibacterials for systemic use	30.17	C0030827	DB01053
penicillin v	7984	J01CE02	Antibacterials for systemic use	0.88	C0030840	DB00417
pentagastrin	7993	V04CG04	Diagnostic agents	NA	C0030859	DB00183
pentazocine	8001	N02AD01	Analgesics	4.51	C0030873	DB00652
pentobarbital	8004	N05CA01	Psycholeptics	11.51	C0030883	DB00312
pentosan polysulfate	155046	C05BA04	Vasoprotectives	12.36	C0600296	DB00686
