drug_name_A	drug_name_B	drug_name_C	drug_name_D	drug_name_E	atleast_exposure_count	exact_exposure_count	estimate_drug_cost_per_day	fraction_exact	fraction_allwindows	observe_per_expect_1s	observe_per_expect_N1
amlodipine	clonidine	hydrochlorothiazide	metoprolol	olmesartan	15951	1453	6.49	0.0911	0	239.505	4.094
carvedilol	furosemide	hydrocodone	metformin	acetaminophen	15950	<100	5.08	 	0	147.889	0.596
atorvastatin	clopidogrel	fenofibrate	metoprolol	ramipril	15948	2332	10.75	0.1462	0	835.55	3.032
hydrochlorothiazide	lisinopril	omeprazole	oxycodone	acetaminophen	15944	1001	7.32	0.0628	0	18.609	0.565
amlodipine	esomeprazole	hydrochlorothiazide	metformin	valsartan	15942	369	11.92	0.0231	0	35.007	0.756
amlodipine	hydrochlorothiazide	metformin	insulin, isophane	regular insulin, human	15942	<100	NA	 	0	4629.118	2.527
carvedilol	digoxin	lisinopril	metformin	warfarin	15940	<100	3.02	 	0	1539.147	1.457
amlodipine	hydrochlorothiazide	metformin	valsartan	acetaminophen	15940	<100	7.51	 	0	12.221	0.264
atorvastatin	benazepril	metformin	metoprolol	pioglitazone	15938	245	11.69	0.0154	0	228.781	2.582
hydrocodone	lisinopril	metformin	sertraline	acetaminophen	15932	248	4.75	0.0156	0	17.992	0.41
amlodipine	atorvastatin	benazepril	furosemide	metformin	15929	420	6.49	0.0264	0	111.579	1.347
atorvastatin	hydrocodone	metformin	valsartan	acetaminophen	15928	211	9.48	0.0132	0	27.689	0.811
carvedilol	furosemide	glimepiride	lisinopril	metformin	15926	250	2.97	0.0157	0	749.51	2.051
diltiazem	ezetimibe	hydrochlorothiazide	simvastatin	valsartan	15926	1666	9.32	0.1046	0	153.08	1.786
amlodipine	furosemide	glipizide	lisinopril	simvastatin	15921	197	2.81	0.0124	0	94.584	1.739
fenofibrate	hydrochlorothiazide	losartan	simvastatin	thyroxine	15921	800	5.84	0.0502	0	22.212	1.01
amlodipine	hydrochlorothiazide	metoprolol	omeprazole	olmesartan	15916	1068	6.49	0.0671	0	38.969	0.957
allopurinol	hydrocodone	lisinopril	metformin	acetaminophen	15915	163	4.34	0.0102	0	43.165	0.975
fenofibrate	hydrochlorothiazide	losartan	metformin	rosuvastatin	15913	663	9.89	0.0417	0	123.608	2.603
allopurinol	amlodipine	atorvastatin	clopidogrel	metoprolol	15909	261	8.33	0.0164	0	197.687	2.227
salmeterol	tamsulosin	albuterol	fluticasone	tiotropium	15909	680	20.42	0.0427	0	5831.187	1.218
amlodipine	carvedilol	clopidogrel	furosemide	lisinopril	15902	215	6.34	0.0135	0	323.587	1.008
atorvastatin	fenofibrate	lisinopril	metformin	omeprazole	15900	371	7.67	0.0233	0	43.283	1.175
fenofibrate	hydrochlorothiazide	metformin	pioglitazone	thyroxine	15897	<100	10.98	 	0	77.804	0.606
hydrocodone	lisinopril	metoprolol	acetaminophen	isosorbide	15895	139	4.05	0.0087	0	101.881	0.688
amlodipine	ezetimibe	fenofibrate	metformin	metoprolol	15893	<100	9.26	 	0	129.107	2.011
amlodipine	hydrochlorothiazide	metoprolol	omeprazole	pravastatin	15892	365	4.09	0.023	0	27.722	1.318
hydrochlorothiazide	lisinopril	omeprazole	fluticasone	thyroxine	15889	769	5.58	0.0484	0	4.81	0.643
allopurinol	atorvastatin	furosemide	lisinopril	metoprolol	15884	424	3.65	0.0267	0	122.049	1.314
amlodipine	hydrocodone	lisinopril	pravastatin	acetaminophen	15883	598	4.77	0.0377	0	25.124	0.663
diltiazem	hydrochlorothiazide	lisinopril	metformin	pravastatin	15880	1332	3.95	0.0839	0	69.737	2.232
amlodipine	digoxin	lisinopril	metoprolol	warfarin	15877	644	2.7	0.0406	0	344.853	1.047
atorvastatin	hydrochlorothiazide	lisinopril	oxycodone	acetaminophen	15876	1250	8.93	0.0787	0	13.019	0.395
clopidogrel	hydrochlorothiazide	metoprolol	simvastatin	glyburide	15873	<100	6.73	 	0	108.784	1.224
glipizide	lisinopril	lovastatin	metformin	thyroxine	15870	1789	2.84	0.1127	0	176.94	1.025
glimepiride	hydrocodone	lisinopril	simvastatin	acetaminophen	15865	224	4.4	0.0141	0	42.922	0.913
clopidogrel	hydrochlorothiazide	metformin	metoprolol	triamterene	15865	120	6.61	0.0076	0	76.103	2.016
amlodipine	hydrochlorothiazide	lisinopril	fluticasone	thyroxine	15864	752	5.85	0.0474	0	3.339	0.548
amlodipine	clopidogrel	ezetimibe	furosemide	simvastatin	15863	101	9.42	0.0064	0	231.055	1.227
amlodipine	gabapentin	lisinopril	metformin	simvastatin	15861	187	5.01	0.0118	0	23.626	0.926
clopidogrel	fenofibrate	hydrochlorothiazide	metoprolol	valsartan	15860	318	11.09	0.0201	0	150.487	2.895
carisoprodol	hydrocodone	lisinopril	simvastatin	acetaminophen	15859	616	4.74	0.0388	0	85.516	0.648
hydrochlorothiazide	metoprolol	pioglitazone	simvastatin	thyroxine	15853	<100	8.49	 	0	17.188	0.798
diltiazem	lisinopril	metformin	metoprolol	simvastatin	15850	412	4.12	0.026	0	34.906	1.358
allopurinol	lisinopril	metformin	simvastatin	thyroxine	15850	590	2.71	0.0372	0	22.279	0.76
hydrochlorothiazide	simvastatin	albuterol	fluticasone	ipratropium	15850	<100	11.35	 	0	162.483	0.575
hydrochlorothiazide	lisinopril	metformin	metoprolol	insulin, aspart, human	15845	<100	NA	 	0	51.884	1.521
furosemide	losartan	metoprolol	simvastatin	warfarin	15843	490	3.05	0.0309	0	216.182	1.521
amlodipine	hydrochlorothiazide	metoprolol	valsartan	acetaminophen	15838	<100	7	 	0	12.001	0.294
glimepiride	hydrocodone	metformin	pioglitazone	acetaminophen	15836	444	10.32	0.028	0	458.457	3.416
gabapentin	hydrocodone	omeprazole	zolpidem	acetaminophen	15836	357	6.54	0.0225	0	122.231	0.605
esomeprazole	hydrochlorothiazide	salmeterol	simvastatin	fluticasone	15835	116	17.61	0.0073	0	48.492	0.677
amlodipine	atorvastatin	digoxin	metoprolol	warfarin	15830	503	5.01	0.0318	0	489.559	1.326
amlodipine	glipizide	hydrochlorothiazide	sitagliptin	valsartan	15830	201	12.06	0.0127	0	461.167	4.592
amlodipine	hydrochlorothiazide	omeprazole	triamterene	thyroxine	15829	864	3.43	0.0546	0	21.03	0.682
hydrocodone	metoprolol	omeprazole	zolpidem	acetaminophen	15827	292	5.6	0.0184	0	35.82	0.503
amlodipine	ezetimibe	hydrochlorothiazide	metoprolol	pioglitazone	15825	<100	11.92	 	0	100.553	2.11
amlodipine	lisinopril	lovastatin	metformin	metoprolol	15825	511	3.93	0.0323	0	50.848	1.97
hydrochlorothiazide	metformin	simvastatin	valsartan	fluticasone	15825	453	9.12	0.0286	0	12.539	0.376
amlodipine	atorvastatin	fenofibrate	metoprolol	valsartan	15824	553	10.19	0.0349	0	93.893	2.485
esomeprazole	hydrochlorothiazide	hydrocodone	losartan	acetaminophen	15824	857	10.42	0.0542	0	30.911	0.586
allopurinol	carvedilol	furosemide	lisinopril	simvastatin	15821	608	2.35	0.0384	0	383.004	1.607
allopurinol	hydrocodone	lisinopril	metoprolol	acetaminophen	15820	277	3.83	0.0175	0	42.406	0.741
furosemide	glipizide	hydrocodone	metformin	acetaminophen	15819	<100	4.5	 	0	180.093	1.335
glimepiride	hydrochlorothiazide	losartan	pioglitazone	simvastatin	15818	328	9.02	0.0207	0	371.347	3.366
ezetimibe	glipizide	metformin	ramipril	simvastatin	15817	968	6.78	0.0612	0	935.785	4.459
atorvastatin	clopidogrel	ezetimibe	metoprolol	thyroxine	15816	622	10.74	0.0393	0	77.822	0.709
ezetimibe	hydrochlorothiazide	salmeterol	albuterol	fluticasone	15813	<100	16.45	 	0	166.694	0.671
amlodipine	benazepril	hydrochlorothiazide	metoprolol	acetaminophen	15809	<100	5.53	 	0	17.02	0.299
amlodipine	atenolol	glimepiride	lisinopril	metformin	15805	369	3.21	0.0233	0	121.599	1.956
amlodipine	hydrochlorothiazide	omeprazole	simvastatin	olmesartan	15801	1438	6.72	0.091	0	28.04	1.054
amlodipine	benazepril	glimepiride	metformin	pravastatin	15794	1355	4.88	0.0858	0	848.049	3.584
amlodipine	metformin	metoprolol	simvastatin	tamsulosin	15793	<100	5.51	 	0	43.688	1.844
clopidogrel	ezetimibe	salmeterol	simvastatin	fluticasone	15790	269	18.26	0.017	0	364.913	2.047
atenolol	ezetimibe	fenofibrate	hydrochlorothiazide	simvastatin	15787	284	8.11	0.018	0	89.259	1.836
clopidogrel	hydrocodone	metoprolol	pantoprazole	acetaminophen	15787	182	9.16	0.0115	0	132.181	1.22
metformin	pioglitazone	salmeterol	albuterol	fluticasone	15787	206	19.23	0.013	0	632.467	3.153
clopidogrel	hydrochlorothiazide	metoprolol	rosuvastatin	thyroxine	15786	200	9.67	0.0127	0	35.322	0.745
amlodipine	benazepril	hydrochlorothiazide	metformin	fluticasone	15783	407	7.97	0.0258	0	23.554	0.343
amlodipine	atorvastatin	doxazosin	hydrochlorothiazide	metoprolol	15780	176	5.48	0.0112	0	96.993	2.554
amlodipine	lisinopril	metoprolol	simvastatin	tamsulosin	15779	659	4.58	0.0418	0	29.423	1.303
atorvastatin	benazepril	hydrochlorothiazide	metoprolol	thyroxine	15778	750	5.8	0.0475	0	13.48	0.881
glipizide	lisinopril	pioglitazone	simvastatin	thyroxine	15768	297	7.69	0.0188	0	123.472	0.704
amlodipine	metformin	metoprolol	sitagliptin	thyroxine	15761	<100	9.97	 	0	54.426	0.58
finasteride	hydrochlorothiazide	lisinopril	simvastatin	tamsulosin	15759	1764	4.67	0.1119	0	171.313	1.418
fenofibrate	lisinopril	metformin	metoprolol	omeprazole	15759	150	5.78	0.0095	0	44.175	1.276
hydrochlorothiazide	hydrocodone	pravastatin	triamterene	acetaminophen	15754	605	4.36	0.0384	0	65.078	0.52
hydrochlorothiazide	lisinopril	lovastatin	metoprolol	thyroxine	15753	2211	2.71	0.1404	0	16.393	0.933
diltiazem	hydrochlorothiazide	hydrocodone	triamterene	acetaminophen	15749	813	5.06	0.0516	0	106.747	0.852
amlodipine	enalapril	hydrochlorothiazide	metformin	metoprolol	15745	398	4.1	0.0253	0	47.109	1.876
hydrochlorothiazide	lisinopril	omeprazole	simvastatin	zolpidem	15741	1127	4.03	0.0716	0	9.583	0.717
allopurinol	amlodipine	hydrochlorothiazide	losartan	simvastatin	15738	1284	4.01	0.0816	0	48.761	1.623
amlodipine	insulin glargine	lisinopril	metformin	insulin, aspart, human	15738	183	NA	0.0116	0	538.083	1.221
alprazolam	amlodipine	hydrocodone	metformin	acetaminophen	15738	<100	5.56	 	0	27.811	0.505
clopidogrel	enalapril	metformin	metoprolol	simvastatin	15736	800	6.8	0.0508	0	221.169	3.269
hydrochlorothiazide	lisinopril	salmeterol	fluticasone	ipratropium	15733	132	15.44	0.0084	0	265.893	0.744
cyclobenzaprine	hydrocodone	zolpidem	acetaminophen	thyroxine	15732	629	5.01	0.04	0	69.621	0.289
alprazolam	carisoprodol	hydrocodone	acetaminophen	thyroxine	15730	1254	4.37	0.0797	0	245.381	0.265
amlodipine	carvedilol	hydrocodone	simvastatin	acetaminophen	15729	149	5.88	0.0095	0	37.802	0.653
amlodipine	metformin	metoprolol	omeprazole	thyroxine	15725	<100	4.22	 	0	12.352	0.802
amlodipine	ezetimibe	hydrochlorothiazide	insulin glargine	simvastatin	15724	<100	13.62	 	0	73.682	1.337
gabapentin	hydrocodone	insulin glargine	metformin	acetaminophen	15724	161	12.88	0.0102	0	235.968	1.368
alprazolam	escitalopram	hydrocodone	zolpidem	acetaminophen	15723	1912	6.91	0.1216	0	142.77	0.645
amlodipine	hydrochlorothiazide	metformin	insulin, aspart protamine, human	insulin, aspart, human	15722	<100	NA	 	0	4333.729	2.698
hydrochlorothiazide	hydrocodone	tramadol	zolpidem	acetaminophen	15719	135	5.91	0.0086	0	48.757	0.289
atorvastatin	benazepril	hydrochlorothiazide	hydrocodone	acetaminophen	15714	544	7.66	0.0346	0	18.777	0.552
hydrochlorothiazide	hydrocodone	metformin	sertraline	acetaminophen	15714	<100	5.33	 	0	12.736	0.406
hydrochlorothiazide	hydrocodone	meloxicam	valsartan	acetaminophen	15713	1350	6.96	0.0859	0	53.111	0.926
atorvastatin	clopidogrel	losartan	metoprolol	thyroxine	15710	1005	8.31	0.064	0	56.555	0.784
carvedilol	clopidogrel	furosemide	lisinopril	thyroxine	15705	195	5.47	0.0124	0	213.94	0.667
amlodipine	hydrochlorothiazide	losartan	metformin	fluticasone	15704	389	7.46	0.0248	0	15.857	0.401
amlodipine	clopidogrel	ezetimibe	metoprolol	rosuvastatin	15702	533	13.17	0.0339	0	304.871	1.694
glimepiride	hydrochlorothiazide	lisinopril	metoprolol	sitagliptin	15701	148	8.82	0.0094	0	193.79	1.753
glipizide	lisinopril	metformin	salmeterol	fluticasone	15700	379	11.93	0.0241	0	206.595	2.642
amlodipine	furosemide	insulin glargine	metformin	metoprolol	15699	<100	10.42	 	0	195.913	1.569
atorvastatin	esomeprazole	hydrochlorothiazide	salmeterol	fluticasone	15697	<100	19.27	 	0	64.406	0.697
duloxetine	hydrochlorothiazide	hydrocodone	valsartan	acetaminophen	15694	568	12.47	0.0362	0	59.212	1.032
insulin glargine	insulin lispro	lisinopril	simvastatin	thyroxine	15689	2168	18.37	0.1382	0	318.673	1.085
hydrochlorothiazide	metformin	simvastatin	acetaminophen	glyburide	15689	<100	4.81	 	0	29.238	0.311
amoxicillin	codeine	guaifenesin	prednisone	clavulanate	15688	5132	7.54	0.3271	0	19750.36	4.06
alprazolam	carisoprodol	hydrocodone	simvastatin	acetaminophen	15688	556	4.92	0.0354	0	275.764	0.297
clopidogrel	lisinopril	metoprolol	sertraline	simvastatin	15686	989	6.11	0.063	0	42.998	0.6
atorvastatin	hydrocodone	metformin	zolpidem	acetaminophen	15682	180	7.72	0.0115	0	25.23	0.598
glipizide	metformin	salmeterol	albuterol	fluticasone	15682	299	13.79	0.0191	0	622.886	3.105
amlodipine	clopidogrel	furosemide	metformin	simvastatin	15681	<100	7.14	 	0	81.274	1.308
amlodipine	ezetimibe	hydrocodone	metoprolol	acetaminophen	15681	<100	8.08	 	0	35.025	0.775
montelukast	pantoprazole	salmeterol	albuterol	fluticasone	15681	1829	17.1	0.1166	0	849.871	0.541
amlodipine	glipizide	metformin	metoprolol	pravastatin	15680	232	3.94	0.0148	0	212.017	2.449
allopurinol	amlodipine	atenolol	hydrochlorothiazide	metformin	15678	<100	3.45	 	0	62.166	1.992
amlodipine	clopidogrel	ezetimibe	fenofibrate	simvastatin	15678	143	12.16	0.0091	0	278.088	1.676
hydrochlorothiazide	hydrocodone	acetaminophen	albuterol	ipratropium	15677	<100	9.98	 	0	177.728	0.246
hydrochlorothiazide	losartan	metformin	omeprazole	sitagliptin	15671	485	10.54	0.0309	0	123.258	0.821
glimepiride	hydrochlorothiazide	lisinopril	omeprazole	simvastatin	15670	278	3.3	0.0177	0	31.887	1.177
allopurinol	hydrocodone	metoprolol	simvastatin	acetaminophen	15667	207	4.48	0.0132	0	44.628	0.78
hydrochlorothiazide	hydrocodone	metformin	pregabalin	acetaminophen	15664	<100	10.88	 	0	63.933	0.608
clopidogrel	hydrocodone	lisinopril	acetaminophen	thyroxine	15660	135	7.18	0.0086	0	17.12	0.339
hydrochlorothiazide	hydrocodone	simvastatin	trazodone	acetaminophen	15660	<100	4.71	 	0	21.835	0.512
digoxin	furosemide	hydrocodone	metoprolol	acetaminophen	15659	154	3.79	0.0098	0	330.577	1.185
carvedilol	digoxin	furosemide	ramipril	warfarin	15658	834	2.67	0.0533	0	35036.129	4.909
amlodipine	doxazosin	hydrochlorothiazide	lisinopril	metformin	15655	261	3.68	0.0167	0	68.381	2.88
amlodipine	benazepril	metformin	simvastatin	acetaminophen	15654	<100	6.11	 	0	25.249	0.31
hydrochlorothiazide	hydrocodone	lisinopril	acetaminophen	estrogens, conjugated (usp)	15651	676	NA	0.0432	0	19.731	0.446
amoxicillin	hydrocodone	sulfamethoxazole	trimethoprim	clavulanate	15648	<100	7.57	 	0	2898.799	1.907
atorvastatin	glimepiride	hydrochlorothiazide	sitagliptin	valsartan	15647	203	13.47	0.013	0	595.047	3.873
amlodipine	hydrochlorothiazide	simvastatin	sitagliptin	glyburide	15639	<100	10.13	 	0	205.286	2.483
amlodipine	benazepril	hydrocodone	tramadol	acetaminophen	15634	1530	6.59	0.0979	0	146.131	0.925
estradiol	hydrochlorothiazide	lisinopril	metformin	simvastatin	15631	1124	4.78	0.0719	0	10.317	0.35
carvedilol	furosemide	lisinopril	metformin	thyroxine	15629	134	2.8	0.0086	0	70.672	0.707
esomeprazole	salmeterol	simvastatin	albuterol	fluticasone	15629	415	18.89	0.0266	0	201.296	0.492
amlodipine	atorvastatin	esomeprazole	lisinopril	metoprolol	15626	600	10.38	0.0384	0	21.205	0.982
ezetimibe	fenofibrate	hydrochlorothiazide	metformin	thyroxine	15626	<100	8.55	 	0	41.596	0.956
fenofibrate	hydrochlorothiazide	simvastatin	valsartan	thyroxine	15626	862	7.82	0.0552	0	22.676	0.895
atorvastatin	hydrochlorothiazide	omeprazole	triamterene	thyroxine	15623	1081	4.77	0.0692	0	20.979	0.728
hydrochlorothiazide	montelukast	salmeterol	acetaminophen	fluticasone	15619	<100	15.33	 	0	49.073	0.268
glipizide	hydrocodone	metformin	acetaminophen	thyroxine	15618	275	4.71	0.0176	0	43.072	0.319
ezetimibe	insulin glargine	metformin	simvastatin	sitagliptin	15614	421	19.45	0.027	0	956.494	3.034
glipizide	metformin	metoprolol	ramipril	simvastatin	15604	675	3.99	0.0433	0	324.663	3.712
ezetimibe	hydrochlorothiazide	hydrocodone	lisinopril	simvastatin	15600	<100	6.75	 	0	10.712	0.288
cyclobenzaprine	gabapentin	hydrocodone	acetaminophen	thyroxine	15597	566	5.37	0.0363	0	117.539	0.309
atorvastatin	furosemide	hydrochlorothiazide	metoprolol	valsartan	15592	487	7.06	0.0312	0	38.705	0.983
hydrochlorothiazide	insulin glargine	losartan	metformin	sitagliptin	15585	643	16.95	0.0413	0	471.745	2.487
amlodipine	atenolol	lisinopril	metformin	pravastatin	15583	616	3.26	0.0395	0	52.879	2.275
atorvastatin	digoxin	lisinopril	metformin	warfarin	15583	<100	4.55	 	0	346.144	1.8
ezetimibe	hydrochlorothiazide	lisinopril	metoprolol	pioglitazone	15580	<100	10.95	 	0	70.275	1.81
glipizide	hydrochlorothiazide	metformin	triamterene	thyroxine	15580	589	2.89	0.0378	0	81.741	0.943
cyclobenzaprine	ezetimibe	hydrocodone	simvastatin	acetaminophen	15577	838	7.77	0.0538	0	110.287	1.171
amlodipine	hydrocodone	insulin glargine	metformin	acetaminophen	15577	<100	12.49	 	0	65.857	0.629
furosemide	hydrocodone	metoprolol	zolpidem	acetaminophen	15572	162	4.79	0.0104	0	67.7	0.673
clopidogrel	furosemide	salmeterol	fluticasone	tiotropium	15572	<100	20.61	 	0	5194.416	1.903
hydrochlorothiazide	lisinopril	oxycodone	zolpidem	acetaminophen	15571	852	7.62	0.0547	0	26.333	0.618
atorvastatin	glimepiride	hydrochlorothiazide	metformin	rosiglitazone	15564	<100	9.97	 	0	1156.887	2.601
clopidogrel	hydrochlorothiazide	lisinopril	metformin	sitagliptin	15563	152	12.66	0.0098	0	88.499	0.858
clopidogrel	ezetimibe	metformin	simvastatin	thyroxine	15562	<100	9.59	 	0	57.824	0.556
glipizide	metformin	salmeterol	simvastatin	fluticasone	15560	213	12.58	0.0137	0	217.582	2.783
hydrocodone	metoprolol	pantoprazole	simvastatin	acetaminophen	15555	327	6.21	0.021	0	30.967	0.578
amlodipine	fenofibrate	losartan	metformin	metoprolol	15553	155	6.83	0.01	0	92.438	2.36
esomeprazole	hydrochlorothiazide	salmeterol	fluticasone	thyroxine	15552	112	17.06	0.0072	0	42.265	0.553
atorvastatin	furosemide	metformin	metoprolol	valsartan	15551	261	7.41	0.0168	0	79.795	1.936
alprazolam	hydrochlorothiazide	lisinopril	metoprolol	acetaminophen	15550	<100	3.45	 	0	8.594	0.779
amlodipine	clopidogrel	ezetimibe	metoprolol	valsartan	15545	<100	12.06	 	0	254.602	2.344
carvedilol	lisinopril	metformin	simvastatin	warfarin	15539	405	3.67	0.0261	0	111.823	1.579
ezetimibe	hydrochlorothiazide	montelukast	salmeterol	fluticasone	15537	<100	17.37	 	0	169.446	0.738
caffeine	codeine	acetaminophen	butalbital	thyroxine	15537	1109	7.5	0.0714	0	9678.669	0.269
glipizide	hydrochlorothiazide	pioglitazone	simvastatin	thyroxine	15532	<100	8.27	 	0	87.288	0.792
amlodipine	hydrochlorothiazide	hydrocodone	ibuprofen	acetaminophen	15532	622	5.43	0.04	0	21.873	0.487
gabapentin	hydrocodone	metoprolol	zolpidem	acetaminophen	15530	170	6.26	0.0109	0	86.72	0.429
hydrocodone	metformin	metoprolol	zolpidem	acetaminophen	15530	<100	5.83	 	0	25.728	0.481
amlodipine	atorvastatin	hydrochlorothiazide	tamsulosin	valsartan	15528	1181	9.16	0.0761	0	60.253	1.415
salmeterol	valsartan	albuterol	fluticasone	tiotropium	15525	338	21.74	0.0218	0	2850.6	0.595
atorvastatin	metformin	salmeterol	fluticasone	tiotropium	15523	143	20.36	0.0092	0	628.633	0.764
amlodipine	carvedilol	clopidogrel	hydrochlorothiazide	valsartan	15522	328	9.79	0.0211	0	184.745	1.762
hydrochlorothiazide	metoprolol	simvastatin	valsartan	glyburide	15520	151	5.89	0.0097	0	75.511	3.064
atenolol	furosemide	hydrocodone	lisinopril	acetaminophen	15520	296	3.31	0.0191	0	43.824	0.697
citalopram	hydrochlorothiazide	hydrocodone	metformin	acetaminophen	15520	<100	5.05	 	0	16.262	0.518
metformin	metoprolol	simvastatin	warfarin	thyroxine	15516	131	3.41	0.0084	0	24.944	0.853
alprazolam	amlodipine	hydrocodone	omeprazole	acetaminophen	15513	249	5.33	0.0161	0	37.449	0.456
amlodipine	hydrochlorothiazide	metformin	valsartan	fluticasone	15510	290	9.44	0.0187	0	16.291	0.352
hydrochlorothiazide	lisinopril	metformin	omeprazole	fluticasone	15508	357	6.41	0.023	0	7.386	0.489
fenofibrate	hydrochlorothiazide	metformin	metoprolol	pravastatin	15505	<100	5.98	 	0	66.631	1.809
hydrochlorothiazide	metformin	omeprazole	valsartan	thyroxine	15499	397	6.17	0.0256	0	13.422	0.715
hydrocodone	lisinopril	metoprolol	pantoprazole	acetaminophen	15497	299	5.56	0.0193	0	29.033	0.542
amlodipine	hydrochlorothiazide	omeprazole	simvastatin	fluticasone	15495	153	7.1	0.0099	0	7.447	0.738
amlodipine	metformin	metoprolol	ramipril	simvastatin	15494	622	4.76	0.0401	0	59.758	1.513
amlodipine	furosemide	insulin glargine	metoprolol	simvastatin	15492	<100	10.14	 	0	138.486	1.224
amlodipine	losartan	metformin	metoprolol	pravastatin	15491	569	4.52	0.0367	0	84.072	2.279
amoxicillin	clindamycin	hydrocodone	acetaminophen	clavulanate	15490	5451	12.08	0.3519	0	459.859	0.844
amoxicillin	hydrocodone	trimethoprim	acetaminophen	clavulanate	15488	<100	8.35	 	0	419.916	0.77
atorvastatin	celecoxib	hydrochlorothiazide	hydrocodone	acetaminophen	15488	109	11.14	0.007	0	37.455	0.631
esomeprazole	hydrochlorothiazide	salmeterol	valsartan	fluticasone	15488	717	19.72	0.0463	0	141.609	1.258
amlodipine	atorvastatin	clopidogrel	hydrochlorothiazide	triamterene	15487	866	8.54	0.0559	0	68.507	1.483
hydrochlorothiazide	hydrocodone	meloxicam	zolpidem	acetaminophen	15485	<100	5.2	 	0	48.441	0.427
atenolol	hydrochlorothiazide	metformin	omeprazole	thyroxine	15484	<100	3.35	 	0	11.818	0.973
hydrochlorothiazide	metformin	pioglitazone	triamterene	thyroxine	15484	288	8.33	0.0186	0	81.938	1.024
amoxicillin	ciprofloxacin	dexamethasone	hydrocodone	acetaminophen	15479	4231	13.48	0.2733	0	1081.047	7.167
hydrochlorothiazide	metformin	simvastatin	valsartan	acetaminophen	15473	<100	7.19	 	0	8.949	0.268
hydrochlorothiazide	lisinopril	pioglitazone	sitagliptin	glyburide	15472	128	14.15	0.0083	0	1039.915	2.583
metformin	salmeterol	simvastatin	sitagliptin	fluticasone	15472	261	18.83	0.0169	0	253.637	2.68
diltiazem	hydrochlorothiazide	metformin	simvastatin	thyroxine	15467	178	4.38	0.0115	0	15.724	0.838
atorvastatin	metformin	salmeterol	fluticasone	thyroxine	15465	259	14.14	0.0167	0	35.957	0.607
hydrochlorothiazide	metformin	metoprolol	omeprazole	sitagliptin	15461	<100	10.18	 	0	58.453	0.829
amlodipine	atorvastatin	fenofibrate	hydrocodone	acetaminophen	15457	293	9.39	0.019	0	38.125	0.907
atorvastatin	clopidogrel	hydrochlorothiazide	metoprolol	tamsulosin	15455	158	9.45	0.0102	0	87.919	0.771
amlodipine	atorvastatin	lisinopril	metoprolol	pantoprazole	15455	662	6.46	0.0428	0	30.032	1.198
amlodipine	glipizide	hydrochlorothiazide	metoprolol	thyroxine	15453	<100	3.37	 	0	22.021	0.75
allopurinol	hydrochlorothiazide	losartan	metoprolol	simvastatin	15453	1226	3.46	0.0793	0	49.831	1.833
hydrochlorothiazide	hydrocodone	lisinopril	metformin	glyburide	15451	<100	4.2	 	0	36.322	0.306
atorvastatin	glimepiride	hydrochlorothiazide	pioglitazone	sitagliptin	15449	<100	16.35	 	0	1419.373	1.69
amoxicillin	chlorhexidine	hydrocodone	methylprednisolone	acetaminophen	15449	5747	6.79	0.372	0	2951.357	3.989
benazepril	clopidogrel	hydrochlorothiazide	metformin	metoprolol	15446	<100	7.92	 	0	65.161	1.972
furosemide	lisinopril	metformin	metoprolol	pioglitazone	15442	129	7.98	0.0084	0	134.443	1.322
amlodipine	atorvastatin	hydrochlorothiazide	lisinopril	zolpidem	15438	1080	5.96	0.07	0	8.753	0.542
codeine	hydrocortisone	neomycin	acetaminophen	polymyxin b	15433	3786	9.39	0.2453	0	210472.772	10.106
amlodipine	atorvastatin	lisinopril	salmeterol	fluticasone	15431	639	14.08	0.0414	0	36.126	0.561
amlodipine	atorvastatin	benazepril	metoprolol	warfarin	15429	1164	6.3	0.0754	0	150.857	2.245
atorvastatin	gemfibrozil	hydrochlorothiazide	lisinopril	metformin	15429	735	5.27	0.0476	0	61.306	1.484
hydrochlorothiazide	metoprolol	omeprazole	salmeterol	fluticasone	15428	162	12.5	0.0105	0	38.401	0.602
hydrochlorothiazide	metformin	quinapril	simvastatin	thyroxine	15426	691	3.81	0.0448	0	32.813	0.967
hydrochlorothiazide	hydrocodone	lorazepam	acetaminophen	thyroxine	15417	119	4.51	0.0077	0	17.767	0.35
atenolol	losartan	metformin	simvastatin	thyroxine	15416	419	3.5	0.0272	0	26.222	1.023
amoxicillin	ibuprofen	oxycodone	acetaminophen	clavulanate	15407	6151	10.92	0.3992	0	955.111	2.137
hydrochlorothiazide	metformin	metoprolol	omeprazole	triamterene	15406	301	3.71	0.0195	0	33.511	0.91
amlodipine	doxazosin	hydrochlorothiazide	metoprolol	simvastatin	15404	238	3.82	0.0155	0	70.665	1.861
hydrocodone	lisinopril	acetaminophen	albuterol	ipratropium	15404	365	9.4	0.0237	0	243.328	0.337
fenofibrate	hydrochlorothiazide	metoprolol	rosuvastatin	valsartan	15400	1318	11.36	0.0856	0	122.976	3.312
allopurinol	furosemide	metformin	metoprolol	simvastatin	15393	<100	2.92	 	0	130.955	1.532
clopidogrel	furosemide	metoprolol	salmeterol	fluticasone	15393	<100	14.71	 	0	458.321	1.504
amlodipine	benazepril	insulin glargine	metformin	metoprolol	15392	324	11.82	0.021	0	222.423	2.235
clonazepam	hydrochlorothiazide	hydrocodone	triamterene	acetaminophen	15391	422	4.19	0.0274	0	87.249	0.697
